,Unnamed: 0,TID,TWEET,SCORE,SENTIMENT_LABEL,ENGLISH_TRANSLATION,CALC_SCORE,CALC_SENTIMENT_LABEL
21,21,282,dev da tmr new movi song ami tmk valobasi realli love ??? lot ???????? nan,1,neutral,devd tmrnevmovi song ami tmk vlobsi really love ??? lot ???????? nun,3,positive
22,22,287,abe bc kya le jayeng yeh toh batah abhi ?? pakvwi babaji ka thullu ??,2,positive,what are you doing? paqwi babji ki thullu ??,0,neutral
23,23,301,hope see babi weekend high doubt ?? ugh nan,1,neutral,hope see baby weekend high doubt ?? ugh nan,0.5,positive
24,24,303,teri ka sakinaka tujh bhadi chinta ho rahi aaj ab 2014 se pehl bhadv log beth tab tu dudh,0,negative,you may be worried about your baby from today until 2014.,-3,negative
25,25,313,isko zammen chayiy bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul pm dikh,1,neutral,isco zameen chiyiyya busshogam is sometimes like akhilesh ki taref karte and see sometimes,2,positive
26,26,331,jai shri ram jai shri krishna jai bajrang bali jai bholenath ! ! ! hum log boln lage rukeng nahi,0,negative,jai shri ram jai shri krishna jai bajrang bali jai bholenath! ! ! we don&#39;t stop talking,-1,negative
27,27,337,rao hindi tumhari bass ki nahi nahi seekh paog dart ho kahin hindi mark hi nahi,0,negative,rao hindi tumhari bass ki nahi nahi seek poogdart ho kahin hindi merki hi nahi,0,neutral
28,28,344,hamyat tu khota khor corrupt ganj ki bhi kert thi kia ukhar lia unhon ne lanat tere te patwari nan,0,negative,hamyattu khot khor c orrupt ganj ki bhi kerthi kiya ukhr liya unhanne lant tere te patwari nan,0,neutral
29,29,347,io sale today nxttakeoverxxv entranc mask qualiti nice ???? even back side come soon nan,2,positive,to sale today nxttakeoverxxv entrance mask quality nice ???? even back side come soon nan,3,positive
30,30,348,ch1 pakeeza languag ka istema tu koi nooni bhayoon se poochhay youthi pe aewen e critic kart hain yeh bhi sahb nan,1,neutral,"if you have any questions or concerns, please feel free to contact me.",1,positive
31,31,352,gulwish nahi wo news ko defend kern ki koshesh ker rhe hain,1,neutral,gulvishni is trying to defend the nevs.,0,neutral
32,32,353,murali noon care boycott world cup till nesamani recov attack krishnamurthi arrest nan,1,neutral,murali noonc are boyc ottworldc uptillnesmani recav attc krishnamurthy arrest nunn,-2,negative
33,33,359,ahmad884 1971 ?????? lulli hoti nahi khadi baten karalo badi badi,1,neutral,ahmad 91961 ?????? lulli hoiti hai na khadi baateen karlo badi badi,0,neutral
34,34,362,dho diya ashk-e-nadamat ne gunahon ko meray tar hua daman baar paak daman ho gaya momin khan momin nan,1,neutral,dhoki ashq-e-nadamatne gunhon ko meretar hua daman bar pak daman ho gay momin khan momin nan,0,neutral
35,35,373,beta nafrat tum jais jahil ( illiter ) failat hain pata nhi kon si phd chal rhi h,0,negative,"i don&#39;t know how to spread hate, i don&#39;t know what is going on.",-3,negative
36,36,404,one favorit anoth one begin movi chhoti-chhoti chitrayi yaadein,2,positive,one favorite,2,positive
37,37,414,mansoor ali tera nam taray ander ki jalan btaa raha hai sari duniya main oil price,0,negative,mansoor ali ter namtary ander ki jalanta raha hai sari duniya main oil prica,0,neutral
38,38,428,jai bheem great news bahujan kumbkarnaa becoz happen kick st,1,neutral,jai bheem graves neves bahujan kumbkarna be c oz happen,0,neutral
39,39,430,u love one person gave fuck u dead - ) nan,1,neutral,u love one person gave fuck u dead - ) nan,-1.333333333,negative
40,40,434,zaini en ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye ais nahi samaj,2,positive,it is beyond the eyes of the world that dastno is beyond doubt,-1,negative
41,41,439,color tum india wale sari yahi sochti ho ki pakistan wale atankistan h par nhi kuch log lagti h thik pakistani bhuta achi h nan,2,positive,c olor tum india wale sari yahi sochti ki pakistanvele atankisthan hr parnhi kuch log lagti hthik pakistani bhut achi han,0,neutral
42,42,441,rohit bhai big fan want meet nan,2,positive,ohio that big fan want meet nan,1.666666667,positive
43,43,450,lanat bhejta hn tun pe tmare harami leader niazi pe nan,0,negative,cursed are you who are not harmed,-2,negative
44,44,451,dont slay ?????????? inta serious nahi leneka segment ko segment pure fun 80 % nonsens cast make sens nan,0,negative,dont slay ?????????? into serious nasi geneva segment to segment pure fun 80 % nonsense cast make sens nan,1,positive
45,45,452,kutta bhonkn lga bhaiyo firs sale gale patt,0,negative,the dog barked and firsle hugged him,0,neutral
46,46,462,world cup mein mard nahi khusr gae hein jo larna nahi twitter per k sath talian bajana jaant hein nan,0,negative,the world has never lost a man who doesn&#39;t know how to learn to play.,-3,negative
47,47,466,bhaijaan ji pleas mein apka bahot bahot bada fan hoon pleas meri jindagi bachalijiy pleas mein,1,neutral,play on my life,0,neutral
48,48,489,scene sahil propos vedika dialogu magic inde coz n't heard,2,positive,scanne sahil proposvedic dialogu magicinde ozn&#39;t heard,0,neutral
49,49,495,bhauji tohra ka haal ba tu kahe ludhak gailu eka matlab akhilesh bha,1,neutral,bhoji tohra ka halb tu kahe ludhak galu ek matlab akhileshva,0,neutral
50,50,497,scratch kfc ke bhi auqaat nahi rahe today 's defeat - pesay doob gaye sarfi ke chakaar main andaay,0,negative,todays&#39; spheyat - money not paid in the face of scattering cfc,0,neutral
51,51,505,dsscampaignagainstdrugabus papa ji aj mera p hd entranc exam tha ap ji ki rehmt se bahut acha ho gy nan,2,positive,dsc ampagnagnstdrugbuspp ji ajmer phd entrancxamth apji ki rehmt se bahut ach ho gyan,0,neutral
52,52,508,muslim sab e qadar mubarak ??????,2,positive,congratulations to all muslims ??????,2,positive
53,53,512,rj kai bar product khrab nhi hota logo ki choic khrab hoti hai product ki,1,neutral,r b c k b a pro b c n b k n b k n b k i b k b k b k b h h pro pro t,0,neutral
54,54,531,aaiy aapka intezaar tha damn ! ! ! ! ! kitna khoobsurat hai yeh ladka mashallah ?????? ca n't wait new season,2,positive,iy your intzar tha damn! ! ! ! ! what is khoobsurth? c n&#39;t vat nev seson,-4,negative
55,55,532,zeeshan09 love u bhaijan father + son bharat iambharat best pic entir promot mashallah ?????,2,positive,zation09 lowe u bhaijan fther + son bharat iambharat bastc cnter promotion promhlaha ?????,0,neutral
56,56,559,saheb tera jat talbani jess harqat kyu kar tahe masum logo ko kyu marta tab tera ammi kaha mar jate,0,negative,saheb teer jat talbni jeshark qqqa kar kesum ko kum murt tabte ammi ke mate jaate,0,neutral
57,57,561,mazhab ke naam par elect jeetna koi bada kaarnama nahi hota messag,0,negative,there are no bad deeds in the name of god,-1,negative
58,58,566,dhol serious one best post seen bravo nd respect nan,2,positive,who serious one best post seen bravo nd respect nan,3,positive
59,59,569,may allah bless us strong imaan taqwa pieti pure heart good manner ?? ya allah give eye se nan,2,positive,may allah bless us strong man tasha piti pure heart good manner ?? a allah give eye se nan,2.333333333,positive
60,60,570,chiller man give big jhtka nsecoloscam made laugh stock,1,neutral,chilled man give big mitka nsecoloscam made laugh stock,1,positive
61,61,577,u thing ppl u ador u want 's transact 's give & take u 's u r su nan,1,neutral,u thing pp u ardor u want 's transact 's give & take u 's u r s nan,1,positive
62,62,583,apn desh ke logo ko thug kar chala sanjeev kapoor world cup dekn nan,0,negative,don&#39;t look down on your country&#39;s logo.,0,neutral
63,63,591,ab ye btaega iss pucho tere jiyn b mla hai usm se gina hindu mla kaunsa hai teri muslim awaadi wale gaao,1,neutral,sing this song,0,neutral
64,64,614,haaa lie think buy new pair bc put shit charger minut ?? nan,1,neutral,hata lie think buy new pair bc put shit charge minute ?? nan,-4,negative
65,65,619,bhai yeah glass wali admi kon hai jo appki har pic main hota hai ... ? nan,1,neutral,so who is this glassvali admi who is appki harpiman. ? nun,0,neutral
66,66,620,mumta bano mhatma ghandhi ki smadhi pe nhi jayegi kyu vhan ghandhi ji ke akhi nan,1,neutral,mumt bano mahtam ghandhi ki smdhi pe nhi jayegi kyu van ghandhi ji ke akhi nan,0,neutral
67,67,626,india modi ji aaan k baad muslim sa,1,neutral,india modi aan ki bad muslim,-3,negative
68,68,628,boy kiya age hy tmhri ???? girl 17??? boy mine love ????? girl 'm taken ?? boy abhi tmhri umer hi,1,neutral,boyeye next age hymn ???? april 14 ??? boy minne lowe ????? girl mtkeen ?? boy abhi tamhri umer he,0,neutral
69,69,651,ali 9 btw kisi jhootay maseeha ko maseeha man leni sy qafir nahi ho jata koi k,0,negative,there is no such thing as a 9-year-old zhootay maseeh.,-1,negative
70,70,655,mc hai sala sale lo jyada ghamand hai kuch din ruk sale tera ghamand dur ho jayega,1,neutral,mc is ready to take more pride than ever,0,neutral
71,71,662,pathan 14 ikk toh sarkar job ni de rhi upper se apn india ke log kaam karna nahi chahat,1,neutral,pathan 14 iktoh sarkar jobni dehi upper se apna indiya ke logkam karna nahi chaht,0,neutral
72,72,669,han chara ghotal mein bhi laloo ne kitney hi gavahon ki maut ke ghat utar diya nan,0,negative,hunter ghotalmeinvi laloo is a witness to the death toll.,-2,negative
73,73,677,??? good morn papa ji plz bless sewa sumiran parmarth ka bal bakhshna ji dhan dhan sa,2,positive,??? god morn pop g please bless save sumiran parmarthk balbakshan ji,1.5,positive
74,74,685,qau pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata karz,1,neutral,what do you do?,0,neutral
75,75,691,boi kdo unpract cool sword seen nan,1,neutral,boy do unpack cool sword seen nan,1,positive
76,76,701,journal k bare bt ki jbhi isko ye cripption ka certif dia gaya h nan,2,positive,"however, it is not possible to say for sure.",0,neutral
77,77,704,sir prashant dhawan kohinoor studi iq best teacher current aff,2,positive,sir prashant dhawan kohinoor studi ik best teacher c urrent aff,3,positive
78,78,734,last check mp congress ki sarkar hai law order state subject nan,1,neutral,last check up congress i makar had law order state subject nan,0,neutral
79,79,740,yeah jo aap hamara roza kharaab karay hain na yeh uss ka notic hay lol allah aap ko aur aap ki famili,1,neutral,these are the things that you do not harm us every day.,-2,negative
80,80,746,desh ke gaddaro ke liy 5 saal bahut pain hoge kyoki mota bhai home minist india ???? ??????,1,neutral,5 years will be too much for the country&#39;s traitors because home minister india is dead ???? ??????,-3,negative
81,81,748,?? ekto aap log ?? muskur bhut ho sharmat ?? bhi bhut ho dil karta hi aaplogon ko eid pr bolaun ..,2,positive,?? acto you people ?? shame on you? let&#39;s talk about the ghost&#39;s heart.,-1.5,negative
82,82,764,nice joke tmhare ghaddaron ko danda janay waala hai landay ka istim maal pakra hai ussay,1,neutral,nicke joke tamhare ghaddaron ko dand janywal hai landayak istim mal pakkar hai ussay,2,positive
83,83,765,antar atma ko bech diya hain jab tak beijjat kark bhagaya nahi jata tab tak nahi hilega lekin rahe,2,positive,the inner self is not sold until the disgraceful cancer is gone.,-1,negative
84,84,781,khan sahab apko vote diya taki ap pm bani alhamdulillah ap bani bi pm ?????? magar khan sahab ab gabraht ho rahi,1,neutral,khan sahab apko vote di so that your aam bap bhi alhamdulillah bap bani b pam ?????? magh khan sahab ab ghabrahat rahi,0,neutral
85,85,797,sir mere / c se 22-04-2019 ko rs1180 /= deduct ho gaya hai kekin branch offic kahta ki mai nahi janta ki k,1,neutral,"only from me / c on 22-08-2014, t111180 / = dedu has been made, but the branch said that i did not generate",0,neutral
86,86,800,amrann even nice second smh ?? salaam love ?? nan,1,neutral,अम्रन् एवन्नि c ए से c ओन्द् स्म्ह् ?? salamlove ?? nun,0,neutral
87,87,805,aapko bahut bahut badhai ho amitshah ji asha kart hain ki aap bhi modi ji ki tarah hi hama,1,neutral,"yours sincerely, amit shah does not believe that we are like modi.",2,positive
88,88,807,would bring great joy hear rendit des ree  got ta  . sayin xoxo nan,1,neutral,would bring great joy hear credit des see  got ta  . saying too nan,3,positive
89,89,809,mera khayal apki nazron se woh document nehein guzra jis apk papa ne bahir janey keley mushar,1,neutral,i don&#39;t think there&#39;s anything wrong with that.,-2,negative
90,90,818,one one jane virgin narrat knoow straight telenovela right ? ? ? ? ? nan,1,neutral,one one jane virgin narrate know straight telenovela right ? ? ? ? ? nan,1,positive
91,91,822,bhai plz bhagwan kre bharat acchi movi ho qki dedepyard jitna,1,neutral,bhai plz bhagwan kre bharat aachi movi ho kki dedepyard jitna,0,neutral
92,92,824,wish bro happi birthday mani hit way togeth ???? thankyou give music nan,2,positive,wish brow happy birthday man hit way together ???? thankyou give music nan,2,positive
93,93,842,apki aik gawahi ne mannat ko pagal saabit kerdia hai watch cheekh tonight 1000 pm arydigit,1,neutral,your testimony has proved mannat to be insane.,-2,negative
94,94,851,listen first jojo siwa song ... ... ... ... . fan lol nan,1,neutral,listen first jojo siv song. ॥.। ॥.। ॥.। . no fun,1.5,positive
95,95,856,sara masla hi band ki wajh se hai yehi fasad ki jar hai ko team nhe chalan ati palyer ka ap men hasd hai nan,1,neutral,"sir musal is close to the world, it is a matter of fact that you have to go to your own side,",1,positive
96,96,866,sk chetan adarsh abe chutiy tera crimin jaisa ghatiya public stunt nhi kr rha h n jo unnec,0,negative,स्कचेतन् अदर्श अबे चुतियत्तेर,0,neutral
97,97,873,613 kung hnd ko pa checheck bat ka dm ko mukha ni jungkooki hnd ko maalala na ikaw hahaha nan,1,neutral,613 kung hund ko pcheche ckbatk dmko mukh ni jungkooki hund ko malal na ikvahh nan,0,neutral
98,98,876,babi amaz job today hope feel good wish would hotel room wate yo,2,positive,baby may job today hope feel good wish would hotel room water to,2,positive
99,99,880,dil k khush krni ko ghalib khyal acha ha myth ??,1,neutral,is it possible to express happiness in delhi?,3,positive
100,100,881,allah jise chahe izaat de r jise chahey zilat dt dua ha allah nawaz shareef ko us k khandan ko r u,1,neutral,"allah was honored by whom he was praised by allah, he was honored by allah",2.333333333,positive
101,101,885,ngk good one kudo hero offl nan,2,positive,ngk good one kudo hero offlnn,2.5,positive
102,102,892,sahi hoga sayad tabhi sirf appki channel pe ye dikh raha hai warna kuch bikav media,1,neutral,"will be able to see it only on your channel, but it can be done",0,neutral
103,103,895,ez1403 ja na pakistani ?? pig + dukkar + kutta + suvar ki mix aulad ?????????????????????????????? nan,0,negative,ez 1403 j na pakistani ?? pig + dukkar + kutta + suvar ki miksh aulad ???????????????????????????? nun,0,neutral
104,104,898,ais barish se dosti a66i nahi maaraz tere khud ka gar mitti ka h ku6 khyal kar tera intzar har koi nahi karega,1,neutral,"friendship with aeschylus a66 no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no",-1,negative
105,105,911,fuck mean apna neech ka band kark rakhna jyada kholn ki jaroorat hani ? ?,0,negative,how can i keep my new office closed? the,0,neutral
106,106,916,ham tu ak ayena ha tu dikhaya gya dagh chahru ka jis ku bura laga samna sa hat jay love pak armi ??????,1,neutral,hmt ak ayen ha tu dikhya gyi dgh chhru ki jisku bur laga samn saat jay lowe pak armi ??????,2,positive
107,107,926,happi birthday bhai pray baba vishwanath good health bright futur,1,neutral,happy birthday prayabbab vishwanath god health bright futur,1.666666667,positive
108,108,942,good morn pita ji thank new day pls bless sewa sumrin parmarth bakso ji,1,neutral,god mornpit ji thanknevdy please bless save sumrin permarth baxo ji,1.5,positive
109,109,943,offici superbbb voic arjun ji u ?? reali mean much ? salut yuh,2,positive,office superb voice around i u ?? real mean much ? salut ouh,5,positive
110,110,954,absolut right histori independ india inclus & secular talk nev,1,neutral,absolute right history indeed india include & secular talk new,0,neutral
111,111,955,thicccccccc xd ( confirm dare 'm one wit hahaha . ) nan,2,positive,thicccccccc d ( confirm dare 'm one wit havana . ) nan,0,neutral
112,112,958,congrat sir lucknow ki shaan bada di aapn veerta aur shaurya ki missal ab aap pesh kariyega jai hind nan,1,neutral,c ongrat sirlu c knov ki shanbad di apn veert aur shaurya ki missal ab aap pesh kariyeg jai hindnan,0,neutral
113,113,965,ha ha ha cow mutr peek war guy st,1,neutral,he is,0,neutral
114,114,969,,1,neutral,nun,0,neutral
115,115,970,modi ke jitn ka asar vipaksh pe nahi padosiyo pe bhi hua hai bokhla gay sare ke sare modi akela,2,positive,"as many of the mods as possible are not on the padosio, but the only modal of bokhl gaye",0,neutral
116,116,1003,bholi bhayaa ufffff dil jeet liya ap ne love imran bhai mind blow ap ki act hai alla,2,positive,bholi bhaya uffffff dff jaytiy app up lowe iamr bhai mend blow app ki hai aal hai hai,0,neutral
117,117,1004,r4i pori dunya 2019 main tum log abhi bhi 1971 main ???????? growup ab kisi ko bhaija sath khud aa jana nan,1,neutral,r4i pori dunya 2019 main tum log abhi 1971 me ???????? groovup abkisi&#39;s brother-in-law does not come by himself,0,neutral
118,118,1005,ne aat hi half centuri kr di ?? thnku bhai itn like ke liy ??,2,positive,hh helfc anturi kri ?? for thunku bhai itnike ??,0,neutral
119,119,1008,jansankhya aur atikraman desh ka sabs bada samasya hai beat plastic pollut jai hind nan,1,neutral,population and encroachment is a problem in the subcontinent.,-2,negative
120,120,1013,obc bhikhari nahi hai aur bhenchod bheemt obc naam ka account bnakar apni maa chuda rah,0,negative,obc is not begging and bhenchod bhettam obc name,0,neutral
121,121,1015,fizakhan pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata,1,neutral,fijkhan pakistani girla foto vithout pakistan kar kar kar pakistani girl haiar mandi mein bint,0,neutral
122,122,1022,pti janab thank veri much short break place ) ) may allah protect & famili,2,positive,piti canal thank very much short break place ) ) may allah protect & family,1.5,positive
123,123,1025,org chalo g bc inhi c,1,neutral,org let&#39;s glc in,0,neutral
124,124,1028,?? congratul ?? akash bhai aap ko phir se 5 saal ? ka contract ? mil gaya keepitup note - sorri,2,positive,?? c ongratul ?? unexpectedly 5 years back? क c ओन्त्र c त्? found kayapitupnote - sorri,0,neutral
125,125,1029,husain haqqani sab ap time nikal k mar q nahi jatay dharti py bojh ho tum gaddar besharam nan,0,negative,"hussein haqqani, don&#39;t go out of your way",0,neutral
126,126,1030,noth like fresh hit pepsi day like today ??,2,positive,not like fresh hit peri day like today ??,1.666666667,positive
127,127,1031,na pehl tu apna photo dp rak phir bark kar kutt ki tarah chal bhag yaha bandhar kahika nan,0,negative,don&#39;t be fooled into believing that your photo is the same as a dog.,0,neutral
128,128,1034,sir need ur bless 9 wed anniversari wife sonia pranam aap ka ashirwad b,2,positive,sirnead ur bless 9 ved anniversari wife sonia pranam your blessings,2,positive
129,129,1051,cnbc ???????????? aka sir ne cnbc ke pahel bol diya tha,1,neutral,c nb c ???????????? akki only spoke before c.,0,neutral
130,130,1054,nxt five year main india chang hone wala hai kyoki modi sarkar bht bda bdlav krne wali hai ye main ni hmare modi sir ka kehna hai nan,2,positive,nksht phive yer man india chang hone wali kyoki modi sarkar bht bd bdlav krne wali hai yeh manni hmare modi sirk kehn hai nan,0,neutral
131,131,1064,uff kya act bholey ji apki ! ! ! kamaal krdya aisa koi actor hi nai abtk jo charactr k saat,2,positive,oops! ! ! the miracle is that there is no one who can do it,1.5,positive
132,132,1068,raand congress se v randwa rjd se buri tarah se haara vote denewal ko sadhuwad nan,1,neutral,"randomly from the congress to the world, the kind of defeat to the people,",2,positive
133,133,1069,dvn kalank theatr zafar aap ka hain charact love play epic love stori spoiler pleas,2,positive,dvn klanktheatrzfr apk hancher ctlove play apiclove story spoiler play,0,neutral
134,134,1073,bahut bahut badhai aap jais logo ke karan hi modi ji ko majboori mili hai isi tarah se,2,positive,"mostly, people like you, like modi, get mjboor in this way.",2,positive
135,135,1077,sasti ghatya nashi kar k ye suwar samjhti trah ki bakwa kar k humein sasti public mil jaegi nan,0,negative,"if you can&#39;t afford it, you can&#39;t afford it.",0,neutral
136,136,1079,proud part brilliant commerci releas 1996 wc time great product team includ nan,2,positive,proud part brilliant commerce release 1996 we time great product team include nan,3,positive
137,137,1093,haha overr kisko bolt hain chuuuu pehl yeh pata kar bc ata pata kuchh nahi chale aat hain,0,negative,who&#39;s talking about owerr?,0,neutral
138,138,1102,pogo launch new show kalari-kid love enthusiasm littl one saw chhotabheem danc,2,positive,pago launch new show alarm-kid love enthusiasm little one saw chhotabheem dance,3,positive
139,139,1103,r k pakistani ais hi 1992 ki rote rhte hain uss time england ne 74 pe kar diya tha all-out iss baar bhi wohi umme hai ???? nan,2,positive,"the pakistanis are crying like this in 1992. at that time, england paid 74 paise. nun",0,neutral
140,140,1106,want see loksabha 's ok kanhaiya ji vichaar badleng desh badlega vidhyarthi,2,positive,vantsee loksav &#39;sok kanhaiya ji vichar badleng desh badleg vidyarthi,0,neutral
141,141,1128,wow tum red plain sare pahen na bahut cute lagegi red plain sare sleeveless blous look awasom nan,1,neutral,"wow, you don&#39;t wear red planners too much.",4,positive
142,142,1129,chaa ihav cheap ak cuz ak 's fav weapon u wan battl win u give,2,positive,cha ehvcheap akc uz ak &#39;sfvvapon u vanbattlvin u give,0,neutral
143,143,1136,day day slogan proven true afghani bhagao mulk bachao nan,0,negative,save the provenवेal slogan,2,positive
144,144,1148,wo elect ke liy badha ke btaya tha accpt bar elect commiss media ko bhi bewakoof bnaya h janta ke sath nan,0,negative,he is also a member of the bevkooff bnny hjnt.,0,neutral
145,145,1150,bemaar bhikhari kutta die dub stupid movi hindi wonder peopl tn,1,neutral,bemar bhikhari kut diye dubstupid movi hindi wonder peopltn,0,neutral
146,146,1156,abp news 5 saal se mon nahi bhara congress ko kost sawal kart ab tweet duwara mazaak uran aar,0,negative,the app has never been filled with money from the new world.,0,neutral
147,147,1168,evm hack ka bahana nhi chla pay ?? ab fir ye saath nik slip ka le aay fir bhi ho gyi bye bye ???? ???????? evmscand evm nan,1,neutral,"and why not a sister ?? now, with nixlipk, i came back, bye bye ???? ???????? evms c and evmnn",0,neutral
148,148,1173,dhan dhan satguru tera hi aasra papa g good morn pita g pledgeagainstcorrupt nan,2,positive,dhan dhan satguru ter hi asar pop ggood morne pit,0,neutral
149,149,1179,manmohan singh consid parti presid post ek chuppi hazaar baton se behtar hai uss badhiya udaharan nahi ho sakta nan,1,neutral,manmohan singh is better than a few thousand words at a press post on the occasion.,2,positive
150,150,1185,one india sabka saath sabka vika sabka visva,2,positive,one india sabk saath sabk vik sabk vishwa,0,neutral
151,151,1186,ind prothom kolkata campaigncal media sangbad biswa bangla etc eisob chotokhato channel gulo dekho sudhu jai sree ram cholch nan,1,neutral,ind prothom kolkat c ampagn c almedia sangbad biswa bangla etc aisob chotokhto chanel gulo dekho sudhu jai sreye ram cholch nan,0,neutral
152,152,1192,rohatgi tere maa baap ne bohat badhiya sikhaya hai certif batna sabko ki kaun kiska chamcha,0,negative,rohatgi tere maa baap has taught me a lot of things.,0,neutral
153,153,1202,miss craze use bas koi kuch galat bold old memori,1,neutral,miss raze gave him some bad old memory,-2.5,negative
154,154,1218,pm mumtaz bano hindu ko dhamki de rahi hai bengal hi nai pure desh hindu ka khoon garam ho chuka,2,positive,becoming mumtaz is threatening hindus. bengal is the only country that has lost hindus.,-2.5,negative
155,155,1232,love u much ???? absolut noth insecur bc ur uniqu ur way ok u,2,positive,love u much ???? absolute not insecure bc or unique or way ok u,0.5,positive
156,156,1234,ap beti hein apko beshak apni baap ki yaad ati hoo gi allah apko hosla dy pr certain apka baap ek,2,positive,"if you don&#39;t remember your father, remember that allah is your father.",0,neutral
157,157,1247,thank support thank thank ! ! ! strongwitheliza samanthajayz angelmartin00 galiya,2,positive,thank support thank thank ! ! ! strongwitheliza samanthajayz angelmartin00 gaily,2,positive
158,158,1249,rathe han gaand k keed cow meat kliy pehl se bnde convict h yeh log aur jb ban h teri maa ko khilan jaa rha tha nan,0,negative,rath hangandk kedc ovmeat kliy pehlse bande c onvitt heh log aur jab ban hteri ma,-2,negative
159,159,1262,proud moment ganjam 83 student odisha aadarsh vidyalaya ganjam score 90 %,2,positive,proud moment ganjam 83 student odish adarsh vidyalaya ganjam c ore 90%,2,positive
160,160,1264,pakvwi 92 wi 10 wicket se jeeta tha ajj 7 wicket se jeet gya world cup hamara hai ye wali chawl koi na,2,positive,पक्व्वि 92 वि १० वि c केत्से जेत थ अज्ज् ७ वि c केत्से जेत् ग्य वर्ल्द c उप हमर है ये वलि चव्ल कोई न,0,neutral
161,161,1276,engr sir merey lye bahut khoshi ka maqam hoga agr ap ne muji repli kya love sir ?,1,neutral,engg only will be very expensive for me.,0,neutral
162,162,1284,love 3000 ' said ek raat ka 5000 lungi repli newgfkitalsshm nan,2,positive,lowe&#39;s 3000&#39;s,0,neutral
