,Unnamed: 0,TWEET,SCORE,SENTIMENT_LABEL,ENGLISH_TRANSLATION,CALC_SCORE,CALC_SENTIMENT_LABEL
33,33,ahmad884 1971 ?????? lulli hoti nahi khadi baten karalo badi badi,1,neutral,ahmad lully khadi बतेन् do it big big,1,positive
34,34,dho diya ashk-e-nadamat ne gunahon ko meray tar hua daman baar paak daman ho gaya momin khan momin nan,1,neutral,ashkenadamat khan the wash गुनहोन् mary however damn the bar pak damn momin momin nun,-4,negative
35,35,beta nafrat tum jais jahil ( illiter ) failat hain pata nhi kon si phd chal rhi h,0,negative,beta leiter pad nafrat jais जहिल् phelat pet nhi conn c let&#39;s go rhi,0,neutral
36,36,one favorit anoth one begin movi chhoti-chhoti chitrayi yaadein,2,positive,one not one begin move favorite चोतिच्होति pictorial यादेइन्,2,positive
37,37,mansoor ali tera nam taray ander ki jalan btaa raha hai sari duniya main oil price,0,negative,manhood main oil price ali name tarya ander burning bta head the world,0,neutral
38,38,jai bheem great news bahujan kumbkarnaa becoz happen kick st,1,neutral,great news happen kick st jai भेएम् बहुजन् kumbakarna bay oz,3,positive
39,39,u love one person gave fuck u dead - ) nan,1,neutral,love one person gave fuck dead nun,-1.333333333,negative
40,40,zaini en ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye ais nahi samaj,2,positive,zaini n झललत् dastno three aorak filled beyond behan ace compound,0,neutral
41,41,color tum india wale sari yahi sochti ho ki pakistan wale atankistan h par nhi kuch log lagti h thik pakistani bhuta achi h nan,2,positive,color india parisian pakistani head think अतन्किस्तन् nhi some addiction thick ghost good nun,1,positive
42,42,rohit bhai big fan want meet nan,2,positive,ohio big fan want meet nun,1.666666667,positive
43,43,lanat bhejta hn tun pe tmare harami leader niazi pe nan,0,negative,leader diaz lant sent ह्न् you you harmi nun,0,neutral
44,44,dont slay ?????????? inta serious nahi leneka segment ko segment pure fun 80 % nonsens cast make sens nan,0,negative,slay serious segment segment pure fun cast make dont int lenak nonsense sense nun,1,positive
45,45,kutta bhonkn lga bhaiyo firs sale gale patt,0,negative,gutta firs sale gale भोन्क्न् lg it&#39;s over leaf,0,neutral
46,46,world cup mein mard nahi khusr gae hein jo larna nahi twitter per k sath talian bajana jaant hein nan,0,negative,world cup twitter man खुस्र् went learn per सथ् तलिअन् bajan जान्त् nun,0,neutral
47,47,bhaijaan ji pleas mein apka bahot bahot bada fan hoon pleas meri jindagi bachalijiy pleas mein,1,neutral,pleas fan pleas pleas भैजान् a lot a lot bad yes life survive,0.3333333333,positive
48,48,scene sahil propos vedika dialogu magic inde coz n't heard,2,positive,scene magic co heard sahil propos vedic dialogu inde न्त्,0,neutral
49,49,bhauji tohra ka haal ba tu kahe ludhak gailu eka matlab akhilesh bha,1,neutral,matas bhouji torah currently b you saying ludhk galloway one akhilesh bh,0,neutral
50,50,scratch kfc ke bhi auqaat nahi rahe today 's defeat - pesay doob gaye sarfi ke chakaar main andaay,0,negative,scratch today s defeat main kfc o money doob gone surfy चकार् अन्दाय्,0,neutral
51,51,dsscampaignagainstdrugabus papa ji aj mera p hd entranc exam tha ap ji ki rehmt se bahut acha ho gy nan,2,positive,dsscampaignagainstdrugabus he entrance exam pop aj rhamt well ग्य् nun,0,neutral
52,52,muslim sab e qadar mubarak ??????,2,positive,muslin mubarak a qadar,0,neutral
53,53,rj kai bar product khrab nhi hota logo ki choic khrab hoti hai product ki,1,neutral,bar product log choice product s the hole nhi the hole,0,neutral
54,54,aaiy aapka intezaar tha damn ! ! ! ! ! kitna khoobsurat hai yeh ladka mashallah ?????? ca n't wait new season,2,positive,damn wait new season iye intezaar khoobsurat boys mashallah c a न्त्,-4,negative
55,55,zeeshan09 love u bhaijan father + son bharat iambharat best pic entir promot mashallah ?????,2,positive,love father best pick enter zation भैजन् सोन् bharat इअम्भरत् promotions mashallah,3,positive
56,56,saheb tera jat talbani jess harqat kyu kar tahe masum logo ko kyu marta tab tera ammi kaha mar jate,0,negative,less log tax saheb jatt talbani harkat all masum marth ammi die jate,-3,negative
57,57,mazhab ke naam par elect jeetna koi bada kaarnama nahi hota messag,0,negative,elect message mb name jayatna bad karnam,-3,negative
58,58,dhol serious one best post seen bravo nd respect nan,2,positive,serious one best post seen bravo nd respect dhol nun,3,positive
59,59,may allah bless us strong imaan taqwa pieti pure heart good manner ?? ya allah give eye se nan,2,positive,may bless us strong pure heart good manner give eye allah iman takw pieti allah nun,2.333333333,positive
60,60,chiller man give big jhtka nsecoloscam made laugh stock,1,neutral,chilled man give big made laugh stock झ्त्क न्से c ओलोस् c अम्,1,positive
61,61,u thing ppl u ador u want 's transact 's give & take u 's u r su nan,1,neutral,thing pp want s transact s give take s r end su nun,1,positive
62,62,apn desh ke logo ko thug kar chala sanjeev kapoor world cup dekn nan,0,negative,log thus sanjeev poor world cup country walk see nun,-2,negative
63,63,ab ye btaega iss pucho tere jiyn b mla hai usm se gina hindu mla kaunsa hai teri muslim awaadi wale gaao,1,neutral,gin hindu muslin btag pooch to live ml usm ml which awadi sing,0,neutral
64,64,haaa lie think buy new pair bc put shit charger minut ?? nan,1,neutral,lie think buy new pair bc put shit charge ha मिनुत् nun,-1,negative
65,65,bhai yeah glass wali admi kon hai jo appki har pic main hota hai ... ? nan,1,neutral,yeah glass pick main wali admi conn appki her nun,1,positive
66,66,mumta bano mhatma ghandhi ki smadhi pe nhi jayegi kyu vhan ghandhi ji ke akhi nan,1,neutral,free be the mahatm smell smadhi nhi will live vn smell akhi nun,1,positive
67,67,india modi ji aaan k baad muslim sa,1,neutral,india muslin come on s,0,neutral
68,68,boy kiya age hy tmhri ???? girl 17??? boy mine love ????? girl 'm taken ?? boy abhi tmhri umer hi,1,neutral,boy age girl boy mine love girl m taken boy yes त्म्ह्रि त्म्ह्रि age,2,positive
69,69,ali 9 btw kisi jhootay maseeha ko maseeha man leni sy qafir nahi ho jata koi k,0,negative,bow man ali zhaotay maseeh maseeh lenny स्य् kaffir jat,0,neutral
70,70,mc hai sala sale lo jyada ghamand hai kuch din ruk sale tera ghamand dur ho jayega,1,neutral,my sale sale sal take the more arrogant some day stop arrogant ill jayge,-1.75,negative
71,71,pathan 14 ikk toh sarkar job ni de rhi upper se apn india ke log kaam karna nahi chahat,1,neutral,than job upper india ik circar free give rhi work चहत्,1,positive
72,72,han chara ghotal mein bhi laloo ne kitney hi gavahon ki maut ke ghat utar diya nan,0,negative,yes variable declaration lolo how much gawhon death घत् that nun,-0.5,negative
73,73,??? good morn papa ji plz bless sewa sumiran parmarth ka bal bakhshna ji dhan dhan sa,2,positive,good more ply bless pop save sumiran परमर्थ् ball bakshan dhan dhan s,2.333333333,positive
74,74,qau pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata karz,1,neutral,pakistani girl photo without parisian pakistani girl kow loan ad do do heir recession gall loan,-2,negative
75,75,boi kdo unpract cool sword seen nan,1,neutral,unpack cool sword seen boi quo nun,1,positive
76,76,journal k bare bt ki jbhi isko ye cripption ka certif dia gaya h nan,2,positive,journal cripption certify ok b jh day nun,0,neutral
77,77,sir prashant dhawan kohinoor studi iq best teacher current aff,2,positive,sir peasant drawn in best teacher current kohinoor praise afff,3,positive
78,78,last check mp congress ki sarkar hai law order state subject nan,1,neutral,last check congress law order state subject mp circar nun,0,neutral
79,79,yeah jo aap hamara roza kharaab karay hain na yeh uss ka notic hay lol allah aap ko aur aap ki famili,1,neutral,yeah notice ll daily quality do hi allah family,1,positive
80,80,desh ke gaddaro ke liy 5 saal bahut pain hoge kyoki mota bhai home minist india ???? ??????,1,neutral,pain home india country gaddro li years will be because bead minist,-2,negative
81,81,?? ekto aap log ?? muskur bhut ho sharmat ?? bhi bhut ho dil karta hi aaplogon ko eid pr bolaun ..,2,positive,sherman did smile ghost ghost delhi applogon let&#39;s talk,0,neutral
82,82,nice joke tmhare ghaddaron ko danda janay waala hai landay ka istim maal pakra hai ussay,1,neutral,nice joke landau yours घद्दरोन् teeth born wall इस्तिम् goods arrest usay,1,positive
83,83,antar atma ko bech diya hain jab tak beijjat kark bhagaya nahi jata tab tak nahi hilega lekin rahe,2,positive,tax difference self sell disrespectful cancer fate jat hileg लेकिन्,-1,negative
84,84,khan sahab apko vote diya taki ap pm bani alhamdulillah ap bani bi pm ?????? magar khan sahab ab gabraht ho rahi,1,neutral,khan vote pm pm khan companion of you so alhamdulillah by magar companion well,0,neutral
85,85,sir mere / c se 22-04-2019 ko rs1180 /= deduct ho gaya hai kekin branch offic kahta ki mai nahi janta ki k,1,neutral,sir c is = deduce branch kekin phew say me janta,0,neutral
86,86,amrann even nice second smh ?? salaam love ?? nan,1,neutral,even nice second s love amranna salute nun,3,positive
87,87,aapko bahut bahut badhai ho amitshah ji asha kart hain ki aap bhi modi ji ki tarah hi hama,1,neutral,more amitsh ash duty we,0,neutral
88,88,would bring great joy hear rendit des ree  got ta  . sayin xoxo nan,1,neutral,would bring great joy hear see  got  saying too randit des so nun,3,positive
89,89,mera khayal apki nazron se woh document nehein guzra jis apk papa ne bahir janey keley mushar,1,neutral,document ask hair खयल् नझ्रोन् nehein pass pop janey केलेय् mushroom,0,neutral
90,90,one one jane virgin narrat knoow straight telenovela right ? ? ? ? ? nan,1,neutral,one one jane virgin know straight right malefic telenowell nun,1,positive
91,91,bhai plz bhagwan kre bharat acchi movi ho qki dedepyard jitna,1,neutral,ply move dedepyard god cray bharat a chi because,1,positive
92,92,wish bro happi birthday mani hit way togeth ???? thankyou give music nan,2,positive,wish brow birthday hit way together thankyou give music hippie money nun,1,positive
93,93,apki aik gawahi ne mannat ko pagal saabit kerdia hai watch cheekh tonight 1000 pm arydigit,1,neutral,watch tonight pm ac gawhi vow mad proof cárdia cheekh अर्य्दिगित्,-3,negative
94,94,listen first jojo siwa song ... ... ... ... . fan lol nan,1,neutral,listen first too song fan ll sew nun,3,positive
95,95,sara masla hi band ki wajh se hai yehi fasad ki jar hai ko team nhe chalan ati palyer ka ap men hasd hai nan,1,neutral,sera band jar team muscle vajh that&#39;s it fasd nhe let&#39;s go extreme पल्येर् main hand nun,0,neutral
96,96,sk chetan adarsh abe chutiy tera crimin jaisa ghatiya public stunt nhi kr rha h n jo unnec,0,negative,clean public stung under स्क invisible abe lick c रिमिन् ghatiya nhi kr,2,positive
97,97,613 kung hnd ko pa checheck bat ka dm ko mukha ni jungkooki hnd ko maalala na ikaw hahaha nan,1,neutral,do kung ह्न्द् p cheche ck bat mouth free jungkooki ह्न्द् malal eq huhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh nun,1,positive
98,98,babi amaz job today hope feel good wish would hotel room wate yo,2,positive,job today hope feel good wish would hotel room bubi amaz वते this,2,positive
99,99,dil k khush krni ko ghalib khyal acha ha myth ??,1,neutral,myth delhi happiness krni ghalib khyal well,1,positive
100,100,allah jise chahe izaat de r jise chahey zilat dt dua ha allah nawaz shareef ko us k khandan ko r u,1,neutral,r away share us r allah favorite honor give favorite the district d blessings allah खन्दन्,1.75,positive
101,101,ngk good one kudo hero offl nan,2,positive,good one hero off ngk jump nun,2.5,positive
102,102,sahi hoga sayad tabhi sirf appki channel pe ye dikh raha hai warna kuch bikav media,1,neutral,channel media that&#39;s right hoag sayed water only appki look vern some sold out,0,neutral
103,103,ez1403 ja na pakistani ?? pig + dukkar + kutta + suvar ki mix aulad ?????????????????????????????? nan,0,negative,pakistani pig gutta mix ez j dukkur gold child nun,0,neutral
104,104,ais barish se dosti a66i nahi maaraz tere khud ka gar mitti ka h ku6 khyal kar tera intzar har koi nahi karega,1,neutral,ace barish friendship aye marz himself do date some khyal honor her will,2,positive
105,105,fuck mean apna neech ka band kark rakhna jyada kholn ki jaroorat hani ? ?,0,negative,fuck mean band neech cancer to keep more open up through hani,-2.5,negative
106,106,ham tu ak ayena ha tu dikhaya gya dagh chahru ka jis ku bura laga samna sa hat jay love pak armi ??????,1,neutral,jay love you ak ayen you visible ग्य dgh face some bur look summons s ht pucca armi,3,positive
107,107,happi birthday bhai pray baba vishwanath good health bright futur,1,neutral,birthday pray good health bright hippie bub vishwanath futur,1.666666667,positive
108,108,good morn pita ji thank new day pls bless sewa sumrin parmarth bakso ji,1,neutral,good more thank new day pus bless pit save sumrin परमर्थ् buxo,2.25,positive
109,109,offici superbbb voic arjun ji u ?? reali mean much ? salut yuh,2,positive,voice around mean much ouh phew superbb realy salut,0,neutral
110,110,absolut right histori independ india inclus & secular talk nev,1,neutral,right india secular talk new absolute history इन्देपेन्द् inclus,0,neutral
111,111,thicccccccc xd ( confirm dare 'm one wit hahaha . ) nan,2,positive,thicccccccc confirm m one क्ष्द् rates finance huhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh nun,0,neutral
112,112,congrat sir lucknow ki shaan bada di aapn veerta aur shaurya ki missal ab aap pesh kariyega jai hind nan,1,neutral,contrat sir lucknow shan miss bad on apn weyert gallantry profession will do jai india nun,-0.6666666667,negative
113,113,ha ha ha cow mutr peek war guy st,1,neutral,cow week war guy st urine,-2,negative
114,114,,1,neutral,nun,0,neutral
115,115,modi ke jitn ka asar vipaksh pe nahi padosiyo pe bhi hua hai bokhla gay sare ke sare modi akela,2,positive,gay to win asr opposition padosiyo bokhl surrey surrey alone,-2,negative
116,116,bholi bhayaa ufffff dil jeet liya ap ne love imran bhai mind blow ap ki act hai alla,2,positive,love man mind blow act tomorrow fear uffff delhi j.e.t. all,0.5,positive
117,117,r4i pori dunya 2019 main tum log abhi bhi 1971 main ???????? growup ab kisi ko bhaija sath khud aa jana nan,1,neutral,main main group ri pori the world wet सथ् himself come people nun,0,neutral
118,118,ne aat hi half centuri kr di ?? thnku bhai itn like ke liy ??,2,positive,half like self c enturi kr on thank you इत्न् li,2,positive
119,119,jansankhya aur atikraman desh ka sabs bada samasya hai beat plastic pollut jai hind nan,1,neutral,beat plastic polls population encroachment country subs bad the problem jai india nun,-3,negative
120,120,obc bhikhari nahi hai aur bhenchod bheemt obc naam ka account bnakar apni maa chuda rah,0,negative,account obc beggar venchod भेएम्त् obc name bnkar in pudding now,0,neutral
121,121,fizakhan pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata,1,neutral,pakistani girl photo without parisian pakistani girl fijkhan loan ad do do heir recession gall,-2,negative
122,122,pti janab thank veri much short break place ) ) may allah protect & famili,2,positive,thank much short break place may protect the letter janab very allah family,1.5,positive
123,123,org chalo g bc inhi c,1,neutral,bc c org let&#39;s go these,0,neutral
124,124,?? congratul ?? akash bhai aap ko phir se 5 saal ? ka contract ? mil gaya keepitup note - sorri,2,positive,congratul contract keepitup note aksh years mil sorri,0,neutral
125,125,husain haqqani sab ap time nikal k mar q nahi jatay dharti py bojh ho tum gaddar besharam nan,0,negative,haqqani time q by hussein nickel die as earth burden traitor besharam nun,-2.5,negative
126,126,noth like fresh hit pepsi day like today ??,2,positive,like fresh hit peri day like today notch,1.666666667,positive
127,127,na pehl tu apna photo dp rak phir bark kar kutt ki tarah chal bhag yaha bandhar kahika nan,0,negative,photo up bark pehle you blood dog let&#39;s go भग् this bandhar kahik nun,0,neutral
128,128,sir need ur bless 9 wed anniversari wife sonia pranam aap ka ashirwad b,2,positive,sir need bless wed wife sonya anniversaries pranam ashirvad,2,positive
129,129,cnbc ???????????? aka sir ne cnbc ke pahel bol diya tha,1,neutral,ak sir c nb c c nb c first speak up,0,neutral
130,130,nxt five year main india chang hone wala hai kyoki modi sarkar bht bda bdlav krne wali hai ye main ni hmare modi sir ka kehna hai nan,2,positive,five year main india change but main sir न्क्ष्त् because circar big badlav to do wali free humre kehn nun,1,positive
131,131,uff kya act bholey ji apki ! ! ! kamaal krdya aisa koi actor hi nai abtk jo charactr k saat,2,positive,act actor character oops naive kamal the heart ace of course abtk seven,-2,negative
132,132,raand congress se v randwa rjd se buri tarah se haara vote denewal ko sadhuwad nan,1,neutral,congress vote रान्द् w randav रज्द् buri necklace giving sadhuvad nun,0,neutral
133,133,dvn kalank theatr zafar aap ka hain charact love play epic love stori spoiler pleas,2,positive,afar character love play epic love spoiled pleas द्वन् stigma theatr story,3,positive
134,134,bahut bahut badhai aap jais logo ke karan hi modi ji ko majboori mili hai isi tarah se,2,positive,log more jais do mazboori meet isi,0,neutral
135,135,sasti ghatya nashi kar k ye suwar samjhti trah ki bakwa kar k humein sasti public mil jaegi nan,0,negative,public cheap death intoxicant gold memories tri bak हुमेइन् cheap mil jayegi nun,-2,negative
136,136,proud part brilliant commerci releas 1996 wc time great product team includ nan,2,positive,proud part brilliant time great product team c ommer c e relays w c includ nun,3,positive
137,137,haha overr kisko bolt hain chuuuu pehl yeh pata kar bc ata pata kuchh nahi chale aat hain,0,negative,bolt bc huh over chu pehle pet therefore pet let&#39;s go self,0,neutral
138,138,pogo launch new show kalari-kid love enthusiasm littl one saw chhotabheem danc,2,positive,pago launch new show kalarikid love enthusiasm one saw dance littell च्होतभेएम्,3,positive
139,139,r k pakistani ais hi 1992 ki rote rhte hain uss time england ne 74 pe kar diya tha all-out iss baar bhi wohi umme hai ???? nan,2,positive,r pakistani time england ace weeping hours allow the bar the same umm nun,-0.5,negative
140,140,want see loksabha 's ok kanhaiya ji vichaar badleng desh badlega vidhyarthi,2,positive,want see s ok loksabh kanhai thoughts change country badlag student,1,positive
141,141,wow tum red plain sare pahen na bahut cute lagegi red plain sare sleeveless blous look awasom nan,1,neutral,now red plain cut red plain sleepless look surrey not worn will take surrey blow avasom nun,-1,negative
142,142,chaa ihav cheap ak cuz ak 's fav weapon u wan battl win u give,2,positive,cheap cut s far weapon win give of इहव् ak ak वन् bhattal,1.5,positive
143,143,day day slogan proven true afghani bhagao mulk bachao nan,0,negative,day day slogan prove true afghan run away country be saved nun,0,neutral
144,144,wo elect ke liy badha ke btaya tha accpt bar elect commiss media ko bhi bewakoof bnaya h janta ke sath nan,0,negative,elect bar elect commits media li abandon by a c c p bevakoff bn janta सथ् nun,-0.5,negative
145,145,bemaar bhikhari kutta die dub stupid movi hindi wonder peopl tn,1,neutral,gutta dub stupid move wonder people to bemar beggar lamps hindi,-2,negative
146,146,abp news 5 saal se mon nahi bhara congress ko kost sawal kart ab tweet duwara mazaak uran aar,0,negative,news congress sweet abp years mon filled coast saval duty duvar joke uran ar,2,positive
147,147,evm hack ka bahana nhi chla pay ?? ab fir ye saath nik slip ka le aay fir bhi ho gyi bye bye ???? ???????? evmscand evm nan,1,neutral,pay slip bye bye evmscand and yes sister nhi chl then nik take i then gyi and nun,0,neutral
148,148,dhan dhan satguru tera hi aasra papa g good morn pita g pledgeagainstcorrupt nan,2,positive,good more pledgeagainstcorrupt dhan dhan satguru asra pop pit nun,3,positive
149,149,manmohan singh consid parti presid post ek chuppi hazaar baton se behtar hai uss badhiya udaharan nahi ho sakta nan,1,neutral,manmohan sigh preside post baton c onsid per silence hazar better neat for example nun,0,neutral
150,150,one india sabka saath sabka vika sabka visva,2,positive,one india subs subs vic subs the world,0,neutral
151,151,ind prothom kolkata campaigncal media sangbad biswa bangla etc eisob chotokhato channel gulo dekho sudhu jai sree ram cholch nan,1,neutral,kolkata campaigncal media sandbag angle etc channel ram ind prothom biswa aisob chotokhato gulo look sudhu jai dear cholch nun,2,positive
152,152,rohatgi tere maa baap ne bohat badhiya sikhaya hai certif batna sabko ki kaun kiska chamcha,0,negative,certify rohatgi in father bohat neat teach batna sabko kisk spoon,0,neutral
153,153,miss craze use bas koi kuch galat bold old memori,1,neutral,miss crazy use bold old just some accidental memory,-1,negative
154,154,pm mumtaz bano hindu ko dhamki de rahi hai bengal hi nai pure desh hindu ka khoon garam ho chuka,2,positive,pm mumtaz hindu bengal pure hindu be the threat give of course country get lost hot chuk,-2,negative
155,155,love u much ???? absolut noth insecur bc ur uniqu ur way ok u,2,positive,love much insecure bc unique way ok absolute notch,0.5,positive
156,156,ap beti hein apko beshak apni baap ki yaad ati hoo gi allah apko hosla dy pr certain apka baap ek,2,positive,certain beti of you of course father the memory extreme ho gui allah of you hosl the father,1,positive
157,157,thank support thank thank ! ! ! strongwitheliza samanthajayz angelmartin00 galiya,2,positive,thank support thank thank strongwitheliza support angelmartin the corridor,2,positive
158,158,rathe han gaand k keed cow meat kliy pehl se bnde convict h yeh log aur jb ban h teri maa ko khilan jaa rha tha nan,0,negative,rather cow meat convict j yes gand kaed clee pehle bnde the bun in bloom nun,1,positive
159,159,proud moment ganjam 83 student odisha aadarsh vidyalaya ganjam score 90 %,2,positive,proud moment ganjam student dish ganjam score ideal school,2,positive
160,160,pakvwi 92 wi 10 wicket se jeeta tha ajj 7 wicket se jeet gya world cup hamara hai ye wali chawl koi na,2,positive,wicket wicket world cup the westernmost v jayette ajj j.e.t. ग्य wali चव्ल्,0,neutral
161,161,engr sir merey lye bahut khoshi ka maqam hoga agr ap ne muji repli kya love sir ?,1,neutral,entr sir eye love sir my khosi mqm hoag front muji repli,3,positive
162,162,love 3000 ' said ek raat ka 5000 lungi repli newgfkitalsshm nan,2,positive,love said rat newgfkitalsshm lungi repli nun,3,positive
163,163,pr ye oopr jo btaya wo surgeri ni h na ?? nan,1,neutral,oop by surgeri free nun,1,positive
164,164,veri nice tamanna tamanna nice like nan,2,positive,nice manna manna nice like very nun,2.666666667,positive
165,165,apko deputi cm se minist chief kb bnaya ja rhaa h r wait nan,2,positive,cm chief r wait of you deupati minist cb bn j here nun,0,neutral
166,166,vbk78 tera pichwada hai bc ???? jb se modi ji jeet hai jali padi hai ?? tabs pichwaad ki jagah muh se hag rahe ho nan,2,positive,by bc j tabes pichwad j.e.t. water position पिच्वाद् the place mouth hug nun,2,positive
167,167,shahid bahi wahab riaz ki bowl mein experi nahi sirf wide aur ball hi hain nan,0,negative,diaz bowl expert wide ball martyr out wahb only nun,0,neutral
168,168,isko nikal dia tha world cup 2011 sayad ek banda call p aya bolta h india england australia ni ayga semifin nan,0,negative,world cup call india england australia nickel day sayed off ay bolt free ayg semifin nun,1,positive
169,169,pledgeagainstcorrupt good afternoon guru g bless us give us power sewa nan,2,positive,pledgeagainstcorrupt good afternoon bless us give us power master save nun,2.333333333,positive
