,TWEET,SCORE,SENTIMENT_LABEL
47,bhaijaan ji pleas mein apka bahot bahot bada fan hoon pleas meri jindagi bachalijiy pleas mein,1,neutral
48,scene sahil propos vedika dialogu magic inde coz n't heard,2,positive
49,bhauji tohra ka haal ba tu kahe ludhak gailu eka matlab akhilesh bha,1,neutral
50,scratch kfc ke bhi auqaat nahi rahe today 's defeat - pesay doob gaye sarfi ke chakaar main andaay,0,negative
51,dsscampaignagainstdrugabus papa ji aj mera p hd entranc exam tha ap ji ki rehmt se bahut acha ho gy nan,2,positive
52,muslim sab e qadar mubarak ??????,2,positive
53,rj kai bar product khrab nhi hota logo ki choic khrab hoti hai product ki,1,neutral
54,aaiy aapka intezaar tha damn ! ! ! ! ! kitna khoobsurat hai yeh ladka mashallah ?????? ca n't wait new season,2,positive
55,zeeshan09 love u bhaijan father + son bharat iambharat best pic entir promot mashallah ?????,2,positive
56,saheb tera jat talbani jess harqat kyu kar tahe masum logo ko kyu marta tab tera ammi kaha mar jate,0,negative
57,mazhab ke naam par elect jeetna koi bada kaarnama nahi hota messag,0,negative
58,dhol serious one best post seen bravo nd respect nan,2,positive
59,may allah bless us strong imaan taqwa pieti pure heart good manner ?? ya allah give eye se nan,2,positive
60,chiller man give big jhtka nsecoloscam made laugh stock,1,neutral
61,u thing ppl u ador u want 's transact 's give & take u 's u r su nan,1,neutral
62,apn desh ke logo ko thug kar chala sanjeev kapoor world cup dekn nan,0,negative
63,ab ye btaega iss pucho tere jiyn b mla hai usm se gina hindu mla kaunsa hai teri muslim awaadi wale gaao,1,neutral
64,haaa lie think buy new pair bc put shit charger minut ?? nan,1,neutral
65,bhai yeah glass wali admi kon hai jo appki har pic main hota hai ... ? nan,1,neutral
66,mumta bano mhatma ghandhi ki smadhi pe nhi jayegi kyu vhan ghandhi ji ke akhi nan,1,neutral
67,india modi ji aaan k baad muslim sa,1,neutral
68,boy kiya age hy tmhri ???? girl 17??? boy mine love ????? girl 'm taken ?? boy abhi tmhri umer hi,1,neutral
69,ali 9 btw kisi jhootay maseeha ko maseeha man leni sy qafir nahi ho jata koi k,0,negative
70,mc hai sala sale lo jyada ghamand hai kuch din ruk sale tera ghamand dur ho jayega,1,neutral
71,pathan 14 ikk toh sarkar job ni de rhi upper se apn india ke log kaam karna nahi chahat,1,neutral
72,han chara ghotal mein bhi laloo ne kitney hi gavahon ki maut ke ghat utar diya nan,0,negative
73,??? good morn papa ji plz bless sewa sumiran parmarth ka bal bakhshna ji dhan dhan sa,2,positive
74,qau pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata karz,1,neutral
75,boi kdo unpract cool sword seen nan,1,neutral
76,journal k bare bt ki jbhi isko ye cripption ka certif dia gaya h nan,2,positive
77,sir prashant dhawan kohinoor studi iq best teacher current aff,2,positive
78,last check mp congress ki sarkar hai law order state subject nan,1,neutral
79,yeah jo aap hamara roza kharaab karay hain na yeh uss ka notic hay lol allah aap ko aur aap ki famili,1,neutral
80,desh ke gaddaro ke liy 5 saal bahut pain hoge kyoki mota bhai home minist india ???? ??????,1,neutral
81,?? ekto aap log ?? muskur bhut ho sharmat ?? bhi bhut ho dil karta hi aaplogon ko eid pr bolaun ..,2,positive
82,nice joke tmhare ghaddaron ko danda janay waala hai landay ka istim maal pakra hai ussay,1,neutral
83,antar atma ko bech diya hain jab tak beijjat kark bhagaya nahi jata tab tak nahi hilega lekin rahe,2,positive
84,khan sahab apko vote diya taki ap pm bani alhamdulillah ap bani bi pm ?????? magar khan sahab ab gabraht ho rahi,1,neutral
85,sir mere / c se 22-04-2019 ko rs1180 /= deduct ho gaya hai kekin branch offic kahta ki mai nahi janta ki k,1,neutral
86,amrann even nice second smh ?? salaam love ?? nan,1,neutral
87,aapko bahut bahut badhai ho amitshah ji asha kart hain ki aap bhi modi ji ki tarah hi hama,1,neutral
88,would bring great joy hear rendit des ree  got ta  . sayin xoxo nan,1,neutral
89,mera khayal apki nazron se woh document nehein guzra jis apk papa ne bahir janey keley mushar,1,neutral
90,one one jane virgin narrat knoow straight telenovela right ? ? ? ? ? nan,1,neutral
91,bhai plz bhagwan kre bharat acchi movi ho qki dedepyard jitna,1,neutral
92,wish bro happi birthday mani hit way togeth ???? thankyou give music nan,2,positive
93,apki aik gawahi ne mannat ko pagal saabit kerdia hai watch cheekh tonight 1000 pm arydigit,1,neutral
94,listen first jojo siwa song ... ... ... ... . fan lol nan,1,neutral
95,sara masla hi band ki wajh se hai yehi fasad ki jar hai ko team nhe chalan ati palyer ka ap men hasd hai nan,1,neutral
96,sk chetan adarsh abe chutiy tera crimin jaisa ghatiya public stunt nhi kr rha h n jo unnec,0,negative
97,613 kung hnd ko pa checheck bat ka dm ko mukha ni jungkooki hnd ko maalala na ikaw hahaha nan,1,neutral
98,babi amaz job today hope feel good wish would hotel room wate yo,2,positive
99,dil k khush krni ko ghalib khyal acha ha myth ??,1,neutral
100,allah jise chahe izaat de r jise chahey zilat dt dua ha allah nawaz shareef ko us k khandan ko r u,1,neutral
101,ngk good one kudo hero offl nan,2,positive
102,sahi hoga sayad tabhi sirf appki channel pe ye dikh raha hai warna kuch bikav media,1,neutral
103,ez1403 ja na pakistani ?? pig + dukkar + kutta + suvar ki mix aulad ?????????????????????????????? nan,0,negative
104,ais barish se dosti a66i nahi maaraz tere khud ka gar mitti ka h ku6 khyal kar tera intzar har koi nahi karega,1,neutral
105,fuck mean apna neech ka band kark rakhna jyada kholn ki jaroorat hani ? ?,0,negative
106,ham tu ak ayena ha tu dikhaya gya dagh chahru ka jis ku bura laga samna sa hat jay love pak armi ??????,1,neutral
107,happi birthday bhai pray baba vishwanath good health bright futur,1,neutral
108,good morn pita ji thank new day pls bless sewa sumrin parmarth bakso ji,1,neutral
109,offici superbbb voic arjun ji u ?? reali mean much ? salut yuh,2,positive
110,absolut right histori independ india inclus & secular talk nev,1,neutral
111,thicccccccc xd ( confirm dare 'm one wit hahaha . ) nan,2,positive
112,congrat sir lucknow ki shaan bada di aapn veerta aur shaurya ki missal ab aap pesh kariyega jai hind nan,1,neutral
113,ha ha ha cow mutr peek war guy st,1,neutral
114,,1,neutral
115,modi ke jitn ka asar vipaksh pe nahi padosiyo pe bhi hua hai bokhla gay sare ke sare modi akela,2,positive
116,bholi bhayaa ufffff dil jeet liya ap ne love imran bhai mind blow ap ki act hai alla,2,positive
117,r4i pori dunya 2019 main tum log abhi bhi 1971 main ???????? growup ab kisi ko bhaija sath khud aa jana nan,1,neutral
118,ne aat hi half centuri kr di ?? thnku bhai itn like ke liy ??,2,positive
119,jansankhya aur atikraman desh ka sabs bada samasya hai beat plastic pollut jai hind nan,1,neutral
120,obc bhikhari nahi hai aur bhenchod bheemt obc naam ka account bnakar apni maa chuda rah,0,negative
121,fizakhan pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata,1,neutral
122,pti janab thank veri much short break place ) ) may allah protect & famili,2,positive
123,org chalo g bc inhi c,1,neutral
124,?? congratul ?? akash bhai aap ko phir se 5 saal ? ka contract ? mil gaya keepitup note - sorri,2,positive
125,husain haqqani sab ap time nikal k mar q nahi jatay dharti py bojh ho tum gaddar besharam nan,0,negative
126,noth like fresh hit pepsi day like today ??,2,positive
127,na pehl tu apna photo dp rak phir bark kar kutt ki tarah chal bhag yaha bandhar kahika nan,0,negative
128,sir need ur bless 9 wed anniversari wife sonia pranam aap ka ashirwad b,2,positive
129,cnbc ???????????? aka sir ne cnbc ke pahel bol diya tha,1,neutral
130,nxt five year main india chang hone wala hai kyoki modi sarkar bht bda bdlav krne wali hai ye main ni hmare modi sir ka kehna hai nan,2,positive
131,uff kya act bholey ji apki ! ! ! kamaal krdya aisa koi actor hi nai abtk jo charactr k saat,2,positive
132,raand congress se v randwa rjd se buri tarah se haara vote denewal ko sadhuwad nan,1,neutral
133,dvn kalank theatr zafar aap ka hain charact love play epic love stori spoiler pleas,2,positive
134,bahut bahut badhai aap jais logo ke karan hi modi ji ko majboori mili hai isi tarah se,2,positive
135,sasti ghatya nashi kar k ye suwar samjhti trah ki bakwa kar k humein sasti public mil jaegi nan,0,negative
136,proud part brilliant commerci releas 1996 wc time great product team includ nan,2,positive
137,haha overr kisko bolt hain chuuuu pehl yeh pata kar bc ata pata kuchh nahi chale aat hain,0,negative
138,pogo launch new show kalari-kid love enthusiasm littl one saw chhotabheem danc,2,positive
139,r k pakistani ais hi 1992 ki rote rhte hain uss time england ne 74 pe kar diya tha all-out iss baar bhi wohi umme hai ???? nan,2,positive
140,want see loksabha 's ok kanhaiya ji vichaar badleng desh badlega vidhyarthi,2,positive
141,wow tum red plain sare pahen na bahut cute lagegi red plain sare sleeveless blous look awasom nan,1,neutral
142,chaa ihav cheap ak cuz ak 's fav weapon u wan battl win u give,2,positive
143,day day slogan proven true afghani bhagao mulk bachao nan,0,negative
144,wo elect ke liy badha ke btaya tha accpt bar elect commiss media ko bhi bewakoof bnaya h janta ke sath nan,0,negative
145,bemaar bhikhari kutta die dub stupid movi hindi wonder peopl tn,1,neutral
146,abp news 5 saal se mon nahi bhara congress ko kost sawal kart ab tweet duwara mazaak uran aar,0,negative
147,evm hack ka bahana nhi chla pay ?? ab fir ye saath nik slip ka le aay fir bhi ho gyi bye bye ???? ???????? evmscand evm nan,1,neutral
148,dhan dhan satguru tera hi aasra papa g good morn pita g pledgeagainstcorrupt nan,2,positive
149,manmohan singh consid parti presid post ek chuppi hazaar baton se behtar hai uss badhiya udaharan nahi ho sakta nan,1,neutral
150,one india sabka saath sabka vika sabka visva,2,positive
151,ind prothom kolkata campaigncal media sangbad biswa bangla etc eisob chotokhato channel gulo dekho sudhu jai sree ram cholch nan,1,neutral
152,rohatgi tere maa baap ne bohat badhiya sikhaya hai certif batna sabko ki kaun kiska chamcha,0,negative
153,miss craze use bas koi kuch galat bold old memori,1,neutral
154,pm mumtaz bano hindu ko dhamki de rahi hai bengal hi nai pure desh hindu ka khoon garam ho chuka,2,positive
155,love u much ???? absolut noth insecur bc ur uniqu ur way ok u,2,positive
156,ap beti hein apko beshak apni baap ki yaad ati hoo gi allah apko hosla dy pr certain apka baap ek,2,positive
157,thank support thank thank ! ! ! strongwitheliza samanthajayz angelmartin00 galiya,2,positive
158,rathe han gaand k keed cow meat kliy pehl se bnde convict h yeh log aur jb ban h teri maa ko khilan jaa rha tha nan,0,negative
159,proud moment ganjam 83 student odisha aadarsh vidyalaya ganjam score 90 %,2,positive
160,pakvwi 92 wi 10 wicket se jeeta tha ajj 7 wicket se jeet gya world cup hamara hai ye wali chawl koi na,2,positive
161,engr sir merey lye bahut khoshi ka maqam hoga agr ap ne muji repli kya love sir ?,1,neutral
162,love 3000 ' said ek raat ka 5000 lungi repli newgfkitalsshm nan,2,positive
163,pr ye oopr jo btaya wo surgeri ni h na ?? nan,1,neutral
164,veri nice tamanna tamanna nice like nan,2,positive
165,apko deputi cm se minist chief kb bnaya ja rhaa h r wait nan,2,positive
166,vbk78 tera pichwada hai bc ???? jb se modi ji jeet hai jali padi hai ?? tabs pichwaad ki jagah muh se hag rahe ho nan,2,positive
167,shahid bahi wahab riaz ki bowl mein experi nahi sirf wide aur ball hi hain nan,0,negative
168,isko nikal dia tha world cup 2011 sayad ek banda call p aya bolta h india england australia ni ayga semifin nan,0,negative
169,pledgeagainstcorrupt good afternoon guru g bless us give us power sewa nan,2,positive
170,nice see glow-up peopl may-hem ?? congrat guy ???? wohooo ! ! ! bbye tire year ! ! ! nan,2,positive
171,jitni media ne bjp ke liy prachar ki hai utna khud bjp ne bhi bjp ke liy nahi surgic strike,2,positive
172,siasat rawadari hai samajhta hai wo roza nahi rahta iftari sam nan,2,positive
173,patrag sab pahel tere gahr kanon lago kr kiyo ke teri faim pr tera kabo nahi,1,neutral
174,india arjun ji ???? jai punrasar baba ki jai bikan rajasthan,1,neutral
175,doc saab bahut badhiya video banaya andher se much better hai nan,1,neutral
176,sari shairi tassali aur dilasay pay hi munhasir hoti hai warna shairi kyun karay koi agar pas ho kuch ?? nan,2,positive
177,om gandhi ko ham isliy rastrapita mant hai kyu ki wo ahinsa vadi ye nahi hote aja,2,positive
178,wrong love soti 2 naa ? ? ???? nan,2,positive
179,samaj mai ye nahi aaraha ki kyun halat mai sudhaar nahi ho raha hai kyun karyawahi nahi ki ja rahi road per,2,positive
180,usko toh kejriw ne khud reject kar diya tha educ minist toh kejriw khud bana sakta tha raj,0,negative
181,chanda make gentl nice relat someon life kisi k sahar ki zarort parti ha nan,1,neutral
182,rahiy sex cool nikah ose phele kise ko hath laga ne ka bhi haq nai hai hume nan,2,positive
183,sub bakwa ha ye apni harkaton se baz nhi ayen ge kisi na kisi fault ko jawaz bana kr ye light band ra,0,negative
184,x cm shila dixet karn wale feku tum annaji ko b dhokha de diya nan,1,neutral
185,lekin itn kharab result se kuta bauna harami handsom suvar singh etc ka gussa,0,negative
186,valuetim valuelif pujya guru ji keht h ki jo insan samya ki kader kart h alasya nan,1,neutral
187,bsdkk dhruv tyagi ke bare main kitni bar muslim aatankwad bola tune vivek hatyakand ke bad teri zu,0,negative
188,bharat ka musalman hamesha secular govt k liy vote karta raha hai karta rahega haar jeet 1 sikk k,2,positive
189,congress parti ne pehl se feku bhakt media ka agenda samaj liya hote ye chunav nhi hartefeku bhakt media ne fe,0,negative
190,ghoda ghaan se dosti kar lega khayega kya delhi sarkaar home ministri public ki na,0,negative
191,real tho tri pay loan introduc whopper loan  make purchas bk app cha nan,1,neutral
192,ph watch btsatwembley make miss sighhh realli hope bts ph ?????? miss everyday guy nan,2,positive
193,come first man earlier incid ab ink naam se roti pel raha hai shame nan,0,negative
194,need branch ke student ki hai jisas digir india par forc diya ja sake aur corrupt bhi na ho mai shr,2,positive
195,aap pichla 5 saal se media ka ghatna kramank ko rewind kark dekhiy jabbi vipaksh ne rule parti ke neeti ke baar,2,positive
196,aur bakwa karma aur tv per galat sandesh dena kam hua instead congressi neta aur kar,0,negative
197,desh aagh baad raha hai ye religion ke naam pe bakwa karna baand karo aur tumhar aap bhaiyon ko bhi shikhao nan,2,positive
198,khan 'm sad hear veeruji pass away pleasur & privileg work veeruji amaz pe nan,2,positive
199,* father * son - papa aaj main night studi ke liy jau ga - kitn baje son - 10 baje tak - haan nan,1,neutral
200,mohad ham log ko koe dukh nhi hay tumko hay pakistan ja ???????????????? nan,1,neutral
201,know 's late comment tweet wan na say realli miss n,1,neutral
202,mp kamalnath govern ko vote diy ki employ milega pr 6 month ho gye ghanta kuch ni hua na aagey kuch hoga nan,0,negative
203,rashid krishna tab tha jab tera allah peda bhi nahi hua,0,negative
204,show acha chalna chahiy peopl dont care kisko chanc diya kisko nhi jo main h kisliy hai entertain jyada krt,2,positive
205,team lathi goli ki sarkar nhi chalegi nhi chalegi,0,negative
206,chal har gaya ab sudhar ja ki fir se uncl ko harwayega tere jeson ki wajah,2,positive
207,777 pak,1,neutral
208,sapna erad untouch & poverti sin life nan,2,positive
209,abu kute ki tarah bhonkta jb k ye farishta k cousin ka wo attitud jo tere jese,0,negative
210,respect pm modi jiii hamar odisha ka educ system ka daityo aparajita sadangi mam ko dene ke,1,neutral
211,kab k uth gye gulshan k karobar bhi chal pare fed dog dish left last night laundri go ?? nan,0,negative
212,ff great weekend popat panju nan,2,positive
213,modi chor ko pta tha k evm set ho chuki h aur elect commiss ko inform kr diya gaya h k hme 300 seat chahiy e,0,negative
214,sir congratul marvel victori seem one ever bother sev,0,negative
215,make sure becom bootlick exact way allah apk say se masoom ko bachay ameen nan,0,negative
216,pahl usko bulao jisn kaha tha notebandi fail hui ap mujh beech chaurah par phansi par latka dena ?? nan,1,neutral
217,? nh ? l ê n nh é em g á stay strong lalisa alway love ?? . alwaysstaywithlalisa,2,positive
218,hamsab milkar dhundh us teesr ko jo muslim jake hindu bnke aag lagata ya hindu jake muslim bnke aur dono,2,positive
219,chutiy ke lodo mna kisn kiya hai orgasm karn ko karo na bhosdi walo agar orgasm nhi ho,0,negative
220,miss beauti voic amjadsabrishahe allah un k darjaat buland far,1,neutral
221,harekrishna 2024 ke parliament elect hg modi ko koe gali nahi degaphir v modi hi jitega beta jara gali de ke dekh nan,2,positive
222,appn kabhi kisi shahid ke famili ko kabhi bulaya nahi oath ke liy kya comparison kar rahe,0,negative
223,happiest b'day thanku bade bhaiya motiv make great content us nan,2,positive
224,loyal guy allah apko kushiyaan naseeb farmai bhai jan duaon yad rkhna nan,2,positive
225,correct yeh chatukar good meadiagovt k alway kisi bat nahi sunta boycott hona chahiy magar ye,1,neutral
226,kisi ki bhi hatya hona bahut galat hai per ashraf ji jab koi hindu ki maut hoti hai aap tweet ku nahi,1,neutral
227,megha aap sadi ke liy kayo tayar hui jab ki veer se aap bahut payar karti hai koi na koi baat,1,neutral
228,teri maa ki chut behen ke lode teri gand main jor h 15 minut ke liy mil le tujh teri randi maa ke,0,negative
229,modi ji apko fr ek baar pm bann pr congrat hamar desh ke logo ne jo ye visva banaya hai apk uper visva ko,2,positive
230,bhai modi ji ko jeetna hi tha earli wait epic advrtsmnt seri mauka mauka,1,neutral
231,okkkk lovee one favourit person ??,2,positive
232,sir mai allahabad ( ald ) se sirathu (,1,neutral
233,rubika gandi bata jo andar ko matri banya h bjp ne kya bayan deya h sali haramkhor terei chod,0,negative
234,ravi shankar ji namaskar wais sabhi jatiyo ne aapko vote diya kuchh ne nahi diya parantu kayasth ne 1,0,negative
235,jini zindgi guzri jini baki sari ty lant beshumar,1,neutral
236,like zhoom barabar jhoom ( movi ) friend nan,0,negative
237,wajah se khatana mai bahut jam kah gaya tha waha polic sahi se duti nahi kar rahi th,0,negative
238,today bday murshid may allah give great health work muslim ummah allah unka,2,positive
239,12 listen bhenchod pyaara bachha im fuck happi final gf omg love ill text nan,0,negative
240,sir kya apka sharkar aan ke bad bhi muslim safe nhi hain madhay pardesh 23-may ko jo video aaya,1,neutral
241,bjp garibo ki parti think everyon congress kisi ki bhi parti nahi think self nan,2,positive
242,meri life mae aik ap apa ke brday ka din ais hota hae js ka muja bht intazar hota ha bcz nan,2,positive
243,naa hum bhult khuda ko naa unhko jo hume allah gift mile unko bhuln wali galiya hum chor aay pich,1,neutral
244,tumhari marzi chhor twitter yehi agar facebook hota na toh tum log chhorn ka socht tak nhi p,1,neutral
245,swami ji karmo ka fal jaroor milta hai chinta na kare apn acch karm kiy apna dha,2,positive
246,bro aghar tera dost hota team phir possibl tha umer akmal p nan,1,neutral
247,bear krishna zoo bear bhai tumara har jagah se kaat gaya hai keep calm start prepar 2024 ... good luck ?? nan,2,positive
248,bam happi uncl fine ? hamar bb ke pita ji hey aais hi thodi bimar rehet strong hey uncl ?? nan,2,positive
249,look great & stay way jatayuplywood-visva ka prateek plywood wood plywoodfurnitur woodwork,2,positive
250,tum logo ki terah pakistam k logo ka paisa chori ker k harap ker k baher flat mehal nahi khareeday,0,negative
251,jio ki wajah see log ki waat lgi padi hai choro ab apna profit custom ka paisa chura k nikal rhe ho ghatiya,0,negative
252,constru tum sabn modi ko vote kyu diya ... ?? tumh meri naukri ki koi chinta nahi meri,0,negative
253,haha bomb tree broad day light ask command jo us waqat,1,neutral
254,one last report trip runwal pick strawberri ( @ mendozamartha right  fun ! ) b nan,1,neutral
255,exclus censor report bharat world class word like movi year best perform sunney ko miley ev nan,2,positive
256,say gaya hear gautam buddha,1,neutral
257,sarfraz khaan aap hamar haqeeqi hero ho aap ne pakistan kay ley apna gar bar dos nan,2,positive
258,aiiiii mera chhotu bacha ???? love ador much mini ?? seem distant week back,2,positive
259,dede pyaar de super hit wht ever want bark 12th movi 100 cr club nan,2,positive
260,dear nakko thank best part life thank alway know love hug,2,positive
261,n meet love life dear nan,2,positive
262,pain yako mar jao api lar lar ke wo kuti ke bachi hamr dushman tu chata ye k ye larn api,0,negative
263,yeh desh mein tadi par bhi home minist banta hai aur ek pm,0,negative
264,tu bhi laat khayeg ek din ab elect aan waala hain sudhar jaa nahi ab teri gaand mein,0,negative
265,wow bhai aap dono bahut ach lagt ho pls aap dono se request hai shaadi kar lo nice coupl,2,positive
266,welfarebydssvolunt dhan dhan satguru tera hi aasra good morn dear papa ji beti ka kaam shuru nan,2,positive
267,ki rightwing ne itni li hae ki bechar ka gussa jayaz hae frustrat soul ?????? nan,2,positive
268,bc like kark chodh de nan,0,negative
269,modi ji aaj utthey modi ji ne signatur karey modi ji ne aaj saf kurta pyjama pehna gon na b sick,1,neutral
270,bhale teri english thori kachi ha per realli proud bro sarfarazahm ??,2,positive
271,warrior bangesh umair96 25 guy029 2109,1,neutral
272,#NAME?,1,neutral
273,becaus hind isnt indic vand mataram better though jai shri ram anoth emot,1,neutral
274,say han na ghr nae tha sb ko peh ?? best escap point tha nan,2,positive
275,arey bhau iss bar budget kaam hain na ?? lonavla se direct goregaon filmciti mein set laga hain ?? nan,2,positive
276,well done sabir bhai bilkul theak kha app na hamian pakistan main app kasay hi anker chaiya jin ka,1,neutral
277,k miss youuu ?? know see later kraaa ok miss youuuu ?? nan,1,neutral
278,bahut bahut subhkamna ... @ narendramodi sir hum yuva ko aps yahi ummid hai ki ap humar desh ke ujjaw,2,positive
279,rahul ji aapka bahut bahut dhanay wad aap congr precid hai aap bahut mehanat kiy good per aap,2,positive
280,rassi jal gayi par bal nahi gayi evm par jor nahi chala patrakar ke kapd utaro kuch karna hai,0,negative
281,true yaaaar load disappoint countri turn ?? ye aisi ch,0,negative
282,special appeal defeat bjp give anyth like hopeschem etc chutiya kya kam hai desh mein hain ?? nan,2,positive
283,kaoj hmb tiy bie abdallah0 ______ disagre tunda ba money ritual z nan,1,neutral
284,yaar ye kesi demand ker rahay hou itni mushkil sey manaya hai larkay ko nashay lanay pay nan,1,neutral
285,allah say night al qadar better thousand month may allah forgiv famili fulfi,2,positive
286,maam apko ink jese logo ko jawab nahi dena chay kyu ki inhon humesa aurto ko burkh rk,0,negative
287,happi birthday ador remark human earth love happybirthdayjenniferwinget nan,2,positive
288,sir rajasthan ki sari recruit process band kark kau berozgaro ko pareshan kar rahe ho 2018,0,negative
289,yahi sb kro hmare desh ke yuvao ko berojgar krke bjp wale ye postman ka kaam de diy hai sa,0,negative
290,jo modi ji pe ung utha rahe unh bata du ye pich sarkar ka paap agar abhi convinc nahi hue ne,1,neutral
291,sharma1 bsdk nahi bc koh tumn hamar wali gali seekh li nan,0,negative
292,tumhar jaisa besharm ko jab jaanta ne chun tab v hume itna hi dukh hua tha visashyak chuna tha delh,1,neutral
293,dead apun ka naam aa giya akhbaar mein much happi uff nan,1,neutral
294,wish best jiii,2,positive
295,willi love guy alway see without makeup think cute go date like boom yeah nan,2,positive
296,jaan bojh kar nahi haar wc ka apna pressur hota hai haarn ka matlab ye nahi k ga,2,positive
297,navjot singh sidhhu ji aapki life itni achhi ja rahi thi aapk commentari ki tarif pura desh karta tha kapil,2,positive
298,sharma rofl chai iaf nan,1,neutral
299,offic prash04 deepika006 snehal,1,neutral
300,v mr ???? feel nan,1,neutral
301,join us first final friday yoga class book use link bio love see,1,neutral
302,menaka gandhi rahul - rajneeti bachhon ka khel nahi hai hum congress mukt bhart ki taraf badh rahe hain gaadi nan,2,positive
303,ali bahi jesi hi jawan ki waja sy armi par jan deni ko dil krta ha ka kabi nai dekha eid jo,2,positive
304,kya kahun tumhar baray tu meri jaan hr vheez mein haath agi hai ?? love namjoon-i nan,2,positive
305,ind kitna murkh banavog janta ko varso se public ko dharm karam ke naam pr murkh banat rahe ho mish,0,negative
306,aur haan bhadw yeh sun main vote nahi diya thaa main de hi nahi sakta par sach,0,negative
