,ROWID,TWEETS
146,147,The second Mahatma Gandhi of India is Narendra Modi
147,148,Jai Hind. My country is great
148,149,Modi ji will create a new history.
149,150,Today's image of Swami Vivekananda is also seen in Mahatma Gandhi P. Modi.
150,151,Kabhi SUBHAS CH Bose & Bhagat Singh ki bhi baat kiya karo sirji..Jisne desh k tukde kar diye us aadmi (Gandhi) ki murti anvaran karte phir raheho @ narendra modiji
151,152,"maine kai bar suna ki bharat ek din bishwa guru banega. lekin yakeen nahin hota tha. per aap kee lagan aur karya shaily se ab poora yakeen ho gaya, bahut jaldi bharat maha guru ban jayega. bharat maa ki jai."
152,153,Modi looks good
153,154,As much as the ability of our country to be discussed in the country is very good
154,155,"Modiji, do you want to make so much money, does the country want to be mortgaged?"
155,156,Kal modiji nagpur jar nam len sir he vinti aahe sir
156,157,"I, my whole family, pay dear to Modi"
157,158,Vande Mataram. ..Jai Hind. .Jai Bharatઃ
158,159,"Modi ji brings all Hindus from Bangladesh to India, he says that during the Muslim Hindu period he does a lot of rituals."
159,160,Modiji is doing a lot to take his country forward.
160,161,Modi sir welcome you and we need sir like you
161,162,Sir i want to talk to you
162,163,"India will build nine Modi ji, Modi ji will build a powerful nation"
163,164,Jai Hind Modi
164,165,"Generous, our Indian army is being beaten by Pakistan bullets and shaking hands with Nawaz"
165,166,"Just keep pushing us like this, we are with you .."
166,167,Modi ji sorry bidesoon main mat ghoomo apne naitaoo saansdon ko pakdo belagaam hote ja tahe hain gareeboun ki socho 1 2 Rs ki policiyon se kuch nahi hoga moti aasamiyoun se paisa nikalo gareboun se nahi
167,168,Good deed Modi bhai ji ... Let us make our country golden sparrow again: that dream will come true .. God for which you have not selected ... Tough God..4 Modi ji
168,169,Mr. Modi. There is a game in Assam and Meghalaya whose name is Play Plus Plus.
169,170,My pand super duper namo namo
170,171,Modi ji jai ram ji ki
171,172,Keep on praying with full vigor to all Bharat Vansayo
172,173,Modi ji Pakishthan will have to give a befitting reply
173,174,Is there any benefit to them from seeing all this ??
174,175,Did you come to Bihar? Want to
175,176,Sir Ji Kamal Kardi in his foreign country also.
176,177,Chanakya has said .. if you have to go one step forward then put the first 10 steps back
177,178,Panji has proved to the whole world that India will grow with everyone.
178,179,Modi ji grat
179,180,"Modi sir, which place have you gone, my name too is being taken correctly .. lol: -D"
180,181,Modi is just a name
181,182,"There is so much energy, there is no pioneer of India, love God for you, everyone's support, everyone's development ..."
182,183,Modi mission : 2 establish world brotherhood..grt man grt thinking @ Modi : a boon 2 earth
183,184,"Modi ji, you go ahead, I am with you .."
184,185,Modi came wherever he went and buried his flag.
185,186,Modi ji should worry about the increasing population of India which is taking India on the path of decline
186,187,"May God keep Narendra Modi happy, who will lead our country forward, create enthusiasm among people."
187,188,What do you say
188,189,"Mr. Luv. Modi sir, if you need anything, you will have to ask for help."
189,190,This is the magic where people love Modiji
190,191,"Modi ji, some shridhar works in the law of the country"
191,192,Lov and ways ji
192,193,Yes yes yes
193,194,I am also very crazy about you
194,195,Modi ji fix you in right mind
195,196,"Die We are proud of you Manish Kumar, Nasriganj"
196,197,"After a long time, the country has found a capable or capable leader who is also popular in foreign countries."
197,198,"The vote of the people of India is being celebrated in Delhi. In India, Mr. Modi"
198,199,What can Modi alone do ... Only a man cannot dig a mountain
199,200,"Jai Hind, Varot Mata Ki Jai"
200,201,"Modiji, you are great to see but do not let your 5 years go out while doing a good relationship ..: P"
201,202,"You are great, Modi ji, because of you, our head has risen above the glory, Hail in the world"
202,203,"No one cares like Sichha department, which is the most important. People read their children in private Kallego instead of government college."
203,204,"agr is desh me badlaw lane hai to sampark kre 9451551081, pe mere pass sujhaw aur tarika dono hai teachero ka vetan bhar bdhate jao jo sote hai collego me soche fir comment kre"
204,205,"Stop wandering, look at Modiji too .."
205,206,Great Prime Minister Modi Ji Jai Hind
206,207,Pt Modi ji is a very liberal development man
207,208,"Modi ji, you have done wonders, it is fun to see your work, TV. My feet did not see the mood fresh, congress"
208,209,"Honorable and respected Narendra Modi ji, you are the iron man of this era, I am proud of you."
209,210,"Modi ji, we are proud of you, but the development of the country will happen when the thinking of all Indians will be like yours."
210,211,Today my country was awakened by the conscience.
211,212,"Modi ji, no one like you, thank you how much you serve the country like a son worships his mother."
212,213,Narendra Damodar Modi when will Babu come on a good day There is no solution.
213,214,Pp Model Chirman in Rajasthan is Lalit Modi
214,215,Gurudev Tagore beautified the emotional unity of India by establishing the backbone of Mahatma Gandhi
215,216,We will not get votes if you wear Muslim cap on that day
216,217,To pay dearly to friends is the most precious way of true perseverance. Regards to you
217,218,"Hello App, very good kidney, best of all"
218,219,You will never forget hindutva
219,220,"O king of India, brother"
220,221,Good thinking Pt. Narendra Modi
221,222,Please sir have talked to you
222,223,This time again modi government
223,224,"Oh great ,, .. Seeing you every day, you get new energy. You make Jijo Hazoro Sal Sir Ji and India Biswa Bijai .."
224,225,Tussi Bast Pan Ho Modi ji Saidi'i Punjabi
225,226,"Sir, are you kind in your national employment scheme in the news paper for sons job ??"
226,227,"I have mailed to you, I want an answer from you"
227,228,I spoke in Modi's mock
228,229,Mother India
229,230,Share it please
230,231,BJP victory I
231,232,"You also turned out to be a liar, your promise was your promise."
232,233,Apna Pand Modi
233,234,"I have sent a picture from the capital of Himachal of Panch Saab Swachch Bharat Mission, yesterday. Must see him"
234,235,"Dear Narendra Modi, you are good night"
235,236,"Pt. Uncle this time, the new Bihar will form the BJP government of Bihar"
236,237,Devlope only happens in the villages and not in the villages.
237,238,"I liked Atal ji very much. His ideal was great. After that, Sir Siri Salute Yu"
238,239,"Have you ever lived at home, Mr. Modi?"
239,240,Hail pun modi ji
240,241,"Because I know about you, so you also know all about me"
241,242,Very beautiful. Best wishes
242,243,Modiji ... We voted for you but now I feel that I was suffering
243,244,Hi hail
244,245,"Good morning to all of us, Shri Narendra Bhai Modi ji Jai Shri Krishthanakas to both of us, Sangita Patil Malvijay Kumar Vicky Mavan Sonijay Shri Krishna"
245,246,Modi ji is such a Shashank who is making India of Vaikya as Hindustan and now India is progressing
246,247,Namo to Modi sir. We are proud that our mother has given birth to Birpurus.
247,248,None of your business plans have been used properly.
248,249,I want to meet you but i can't meet
249,250,"Modi ji, how are you .. Your attention is being taken abroad, no sir .. Sir, please go quickly and then talk about Mann's Waiting For Sir Sir .. Tech Care Sir"
250,251,Narendra Modi ji plans the case that is pending in the court to get justice soon
251,252,"Election jantak chunne k hota h ya neta juth bolte h bade2 wade karte h, lakin wahi'ENGRAGI SASAN'Ise badlega kon jise humne chunna h lakin wo badlega to wo satta sukh, bade2 ghotale, janta ka pesa janta k leya kyo pryo raha,"
252,253,Brother Ghumta rahiyo kaam koi na kario
253,254,Nothing else can happen but the man will roam the world on government money.
254,255,"Jb chunane ka aadhikr janta ko h to, jb unhe lage ke galat aadmi chuna gaya h to, 5yr kyo sahe uske tanasahi, reject kre usa, isse neta janta k pirti jyda jimmadare honge."
255,256,Sunil ji is the lion of the universe
256,257,"If India’s solution goes like this, then there will be no educated person in India."
257,258,"Please Modi, please explain to your country that Buddha's birth is in Nepal and not in India."
258,259,modi sir..you come bihar.because necessary to bjp government in bihar..har har modi ghar ghar modi..
259,260,Just keep wandering and turn India into hell
260,261,Modi did not do anything .. he does not know .. but he will surely roam around the world in 5 years
261,262,Background music please..fool mangu na bahar mangu main to sanam tera pyar maangu?
262,263,"Modi ji, you are called Dash"
263,264,Modi will remain active as long as the sun is moon .. Jai Hind
264,265,Har har modi ghar ghar modi all world modi ji good work sir
265,266,This beautiful picture
266,267,"Modi ji, thousands of cows are being cut every day, do unsupervised, which bites the golden cows, hang them or cut them off at the crossroads for two years."
267,268,Looking very carefully
268,269,"The amount of money these leaders would spend in traveling abroad, if they distribute it among the poor, then how many will be fed."
269,270,Sir don't stop killing
270,271,"waqt sahi, nirnay sahi, sachi mein sahi waqt par sahi nirnay lenevala hamare saath hai tho, hamare bharath ko our bharat vaasiyon ko our kya chahiye sir ji. hum sab aapke saath hai sir ji."
271,272,Why is there no one in the circle in the fight? Modi is the best Pt.
272,273,Bring Bapu innocent out early
273,274,"BJP will not even win 7 seats again, Jai Rajasthan"
274,275,Foreign minister is also with Pandit: Modi
275,276,Shreeji read the Jantar Mantra! You are invited!
276,277,The best Modi g
277,278,Modi ji apne kaha tha ki assam se sab bangladesi jald hi jayenge. Par apne to unko dawat pe bulawa diya. Jo naukile kata tar se assam ata he uske liye to apne volvo bus bhej diye. Apse hamko ye ummid nehi thi.
278,279,India will be at the forefront of your policy in the coming years .. And your foreign policy is very good ..
279,280,Enjoy Karlo with our money .. World Tour World. ..
280,281,Modiji is the only country that will make us stronger
281,282,"Respect for women, respect for the country, women's development, what a developed country"
282,283,"For the first time, we see ""On Ban Shan"" of the country, on which we have ""Naz""."
283,284,Welcome modi jee
284,285,"Do not fall off the bike carefully, sir hahaha"
285,286,Great Modi
286,287,"Please sir, make veto power while you are .."
287,288,Who is a job?
288,289,Sir you go ahead we are your seven
289,290,"Sir, some have to roam in our country too, somewhere there is no electricity, no water, and no road at all, when the days come, you will come, you will come"
290,291,Pandit Modi is an avatar for India
291,292,Shove mullo
292,293,Who has been living for seven nights
293,294,May I have to go again for Sir Reconnection?
294,295,Kailash will take out Vijayvargiya and will get you or all your pride and water relying on us
295,296,"Go around the goods of India, you will not come after 5 years"
296,297,modi aur great pm.lakin un sainiko ka bhi koi solutation h jo jantr mantr pat 29 din se bhukh hardtal oar baitha h.aur hamara media is news ko dikha bhi nhi raha h.WaH india ka media wah
297,298,Saare Jahan Se Achch Hindosta Hamara
298,299,One who cannot stop killing cow is of no use to us
299,300,"Thank you sir, your visit will definitely benefit the country, we are proud of you and your policies."
300,301,"Great sir, Modiji's name will remain as long as the sun is moon .."
301,302,"Modi jindabad is strong of our country, the image of Joh India will change"
302,303,"Salutations to the body and I, Mr. Modi"
303,304,Great modi ji welcomes
304,305,Today every citizen has only one wish that Narendra Modi will do something.
305,306,Sat sat naman
306,307,"Welcome back die Pt. How many days will you live in India? Who does not have this money from the father. It is ours. Our money does not go abroad and you travel around, sir?"
307,308,Welcome mother Bharati is calling her
308,309,"Sir, do something about these Pakistanis .. Some Pakistani people daily abuse your name with your name."
309,310,I meet the same standing every day
310,311,Sehar has arrived
311,312,"Sir, you must talk to me, sir, my no 9747375375"
312,313,Discontinued in Punjab .. Ferozepur
313,314,"There is no money for one rank and one pension, shame you forgot the first rally of Rewari"
314,315,"Sir, you get increased for the work you are doing for the country."
315,316,"P.m modi jee.aj mgnrega sab se top par hai.garamin chhetro mai esse playan ruka hai.lekin esme gram rojgar sewk, j.e. in sabka vawisy aap ke hath mai hai. Hum apne priwar ka laln paln dhang se nhi kr skte.bacho ko achhi shiksha bhi nhi de skte."
316,317,Ji Hind Shar
317,318,"Sir, I took a tour of all the states of the country. Like you came out in the 2014 election. Now see how much has changed."
318,319,A tribute to the spirit of Modi
319,320,aabay india k sowar. cow ka peshab penay walay. pakistan aja. tujhe karachi ka peshab khane ly jaounga. roz 3 liter pelaounga. or khane hai tujhe cow ka gobar bhe khelaounga. maa ke choot tere or teray bhen l loray BAGWAN ki
320,321,Sir g hum pad likh kar be barujgar ghum rhaye hain ..hun etni mahnat kar kye pade or etna padne k babjud be koi kaam nhi mil rha sab paise kye piche hain sir g ..plz hlp me sir g
321,322,Don't talk about the future. We are getting spoiled today.
322,323,I trust you so very nice improvement kabhi humne apne pm se nahi bola tha pehli baar hamari baat jaan pa rahi hai mujhe asahi pm hindustan ki zameen pe chahiye tha
323,324,"Sir, the intention of doing something for the people of the country: Or they will roam around in this Air India"
324,325,Congratulations for a successful trip abroad sir
325,326,"Sir, do you have any treatment for unemployment"
326,327,Jai Ho Modi ji
327,328,Are these photographers tired .. have blurred photos ..
328,329,Gajanandji came to the house.
329,330,People can also see the whole world to fulfill their dream
330,331,garib ro rahe h or tum jalse kr rhe ho
331,332,mananiy pradhan mantriji apko salam our ramajan eid mubarak
332,333,bharatakke bapa randi magana illi raitaru sayakattaru
333,334,ohh bss krr Modi tenu ghuman toh sivva horr koi kmm h k
334,335,Iske pas or to kam hai nhi chla hai for en country's
335,336,desh ki badkismati .. chai wala p.m..or padha likha p.m maun
336,337,congratulation sir ji
337,338,Ghen ke Lund apni bhen Chuda rha h randi ke
338,339,Extremist prick with hateful ideologies and hostile intentions towards neighbors. Ultimate dueschbag.
339,340,Hii kam chhe
340,341,I heartly salute you Mr. Prime minister aapka karyakal Bharat varsh ke itihas me savarnim yug sabit Hoga Jai hind
341,342,Modi ji aap ko sabhi ne vishvas kiya hai but us par pani phirte dekh rahe hai mp balaghat mai pani ki tenk kitne dino se saf nahi hui hai bahot log bimariyo ke ghere mai sab aap hi thik kar sakte ho
342,343,Chaye bechate bechate desh mat bej Dena
343,344,"Mera bharat mahan , Modi ji saccha insan, Des ki Dilayange sahi pehchan.jai hind jai Bharat"
344,345,"Modiji govt wonderful programs; jaadu apka safai aapka-swach Bharat,paisa apka account apka-jhan dhan,body apka mat apka-yoga day,beti apka responsibility apka-beti bachao beti padau,mobile apka beti apka aur selfie be apka-save girl child program.. Amazing fekuji.."
345,346,acche din aa gye ..
346,347,hii modi jee kyai say ho aap hamarai bihar say aapko jada vott millai to bihar ko hi vull gyai hai pleace bihar ko taraki mai kijeeyai jaai say gujart ko tarrki mai kyahai
347,348,Kabhi to indiya me raho modi ji kasmir hamara janam shid adikar he 67 sal kangres ne bevkuf banaya ap ko jitaya he ab visvas mat todana piliz sar jitni bhi galt dhara he kasmir me use hatao baki des to ham yowa chalahi lenge
348,349,Aap ki tarah hi kisaan b hard work kar raha h lekin bachche plane m dikkat ho rahi h kisaano ko.
349,350,Ham log apane aap ko bhagy sali samajte hai ki desh ko aap jaise PM mile jay hind
350,351,desh aapko pakar dhanya hua the iron man
351,352,sir m aapka chuta sa fan hu par kuch bhe kar sakta hu
352,353,"Kesi randi ka bacha,"
353,354,mujhe apna bussnies start Karen keep lite 5 lakes ki jarurat hai
354,355,apke aane se sir hamaredesh ko freedom mil gayi hai
355,356,Ek bar Bihar ko bhi dakhie
356,357,modiji hamari ek gujaris hain ke hum ek sangsthan khulna chahati hain ke nij nij elakaomain sari lokoko help karna or iske liye help ki proyjon hain..
357,358,"Puraa Vishwa aaj Bharat ki or dekh rahaa h,"
358,359,Bharatmata lovely son modi jaihoo
359,360,kya hua apka wada woh kasam woh irada
360,361,Kya ji modi ji mast lag rhe ho
361,362,Home guard logo ki bhalaye karo pechele baad me bade bade kaam kerna.Chotta sa kaam kerdo pechele
362,363,Bhus bhar 2. Ink daath milkar dushyon kaa
363,364,Coro or kutto pr brosa mt kro
364,365,"Sir plz JHANSI ki bijli vyavstha thik Krane ki kripa kre, dhnyevad."
365,366,sir aapne skill devlopment programe lunch kiye jisase karoro logo ko rojgar milega !! thanks sir
366,367,Sir swach bharat mission ko gawon se shahro ki taraf lao Sir mission ki jinmedaari nagar nigam or parishd ko uttardaitav do Thanks
367,368,Sabka sath sabka vikas..Gud
368,369,Kyo modi ji bihar ke yua berojgar hi rhenge. Bihar ki gandi rajniti me sare yua piss rhe h
369,370,P m sab Aap ips abitabh thakur ki madd kigiye ga
370,371,Vikas ke liye govt ko kathor niym banana chahiye
371,372,dear prime minister job ke liye b kuch kriye sirf nitiya bnane se rojgar ki samsya hl nhi hogi
372,373,"Modi saab g,, galla da krah bnayi jayoge, k kuj kroge v.."
373,374,Sir ab bihar me lalu nitish ka supda saf kro
374,375,Ghar Ghar modi hi modi .Jaha logo ki soch khatm hoti hai modi Ji waha se sochana suru karte hai .
375,376,Modi jorj aage bado ham tumhare sath hai jai Bharat..
376,377,BJP ko lao beiapam karao phir mader ker aatam hatya batao
377,378,Modi ji aap ka sv asakeam fail hai..
378,379,Aapki skill scheme bhut achi helog kam krna sikhenge to km se km berojgar to ni rhenge..Thanks to pm for it
379,380,Modi j jitna aap ki yojna greatest hai hum aap k sath hai sir j
380,381,Desh ka vikas har koi petrol or diseal ke rate bda kar hi kyu krna chahta hai
381,382,bikaner kb tur h. halat kharab h bikaner k . surdhna gav jane wali sadak ka bhi kbi chal ke dekho us sadak pe..
382,383,india digital bana dena modi sarkar pm
383,384,Thnx sir ji
384,385,Kam me visvas karti hai bjp
385,386,"Today I am totally confuse..bcoz mai ATAL JI Ko best PM manta thaAb lagta hai Modi ji best PM of. BHARAT Bolna parega,, jai jai ho"
386,387,Hum bhuke mur rahe hai sir
387,388,"danyavad bahi ji,shubharatri ji"
388,389,Modi ji ..ye galat baat hai jo aapn 3 crore ka stage lagwa raha han .. please think about it
389,390,Mane ajtak kisi PM se ITI ke vikas ki bat nahi suni thi muze lagta hai ye ache dino ki survat ho gai hai
390,391,Aadarniy pm ji aapke pas feuchar plan bahuthi aachha hai aapko salam.
391,392,"BHARAT ""MODI"" ke Saath"
392,393,"Great modi ji,duja koi nhi aap jaisa"
393,394,mission acchha hai bas lagu sahi se ho
394,395,Bhul jawo ki satna ka kuchh hoga
395,396,Modi ji agar 10 sal pahle pm bane hote to aaj india ki tasbeer dusari hoti sayad india china ke barabar me hota.
396,397,Ground par karo ye jyada Bakwaas karna band karo..abhi tak logo ki life par koi fark nahi huwa. ..koi bhi plan ya policy ka ground par jakar feedback liya karo..policy launch karne se ya paise dene se janta ka bhala nahi hota. ..kyuki middle me khane waale bahut hai..
397,398,Sir ji namo namoHumari muskile kab door hogiKaushambi ki light aur road ka sudhar pichle 10 year se nahi hua
398,399,Modi ji aachi suruwat hai skill India program we heartly congratulated.
399,400,Bahut achchhakarya aur bahut achchha Hamara sarkar
400,401,Sir kabi Jammu Kashmir k ITI k haalat toh dekho koi staff nahi koi metrial nahi aur aap skill development ki baat karte ho
401,402,Ati sundar sir sabse hatkar Vande~~ sir
402,403,agar modi ji 10 saal pahle pm bane hote to ham aaj 20 saal aage hote
403,404,BJP youth ki skill niche video me dekhiye.
404,405,"sir ji namskar , hamari (BJP) party ke kuchha netaon ne party ki chhavi ko badnam kar diya hai ese me unhain unke pado se hataya ja skta hai , jisase dusra koi bhi esa kaam na kare, jai hind, vandematarm"
405,406,sir hum apka sath hain
406,407,Sir aap ghumne ke waza Jo bhi ho aap agar odisha ka electricity me sudhar layege to kuch acha hoga or Jo baat kiye the aap bo to kabhi nehi ho sakta bas electricity me sudhar dijiye bas
