,Unnamed: 0,ROWID,TWEETS,ENGLISH_TRANSLATION,SCORE,SENTIMENT_LABEL
114,114,115,Jai Hind Manio Principal Monterrey ji did not have army recruitment but I salute the army of the country.,jaw hind mania principal monterrey i did not have army recruitment but i salute the army of the country.,0,neutral
115,115,116,"Modiji, you salute. Very many crores of crores have been received, but I am the best of luck.","modify, you salute. very many cross of cross have been received, but i am the best of luck.",3,positive
116,116,117,"Hello Sir, the way you are improving the condition of the country. In the same way, please pay attention to peoplaces like us.","hello sir, the way you are improving the condition of the country. in the same way, please pay attention to peoples like us.",1,positive
117,117,118,Modi Ji Kay sare kam acche hay par ek kaam bura hay inko aapan ne jitaya election hay ya World Tour Package Purana PM to silent mode or naye PM flight mode hamare desh ki to kismat hi kharab hay,modi ji kaysare kam ache hai par ekkambur hai inko aapne jitney ale c tion hai world taurp kge puran pmto silent mode or naye pamphlight mode hamare deski to kismat hi kharabhay.,-2,negative
118,118,119,"The hopes that the people of India had from Modiji, so far as they are here, should make something strong that will remain in the coming time as the time is short.","the hopes that the people of india had from modify, so far as they are here, should make something strong that will remain in the coming time as the time is short.",2,positive
119,119,120,"Every har modi ghar ghar modi modi ji, you are in pain in the stomach of the Congressmen;","every had mode gear gear mode mode i, you are in pain in the stomach of the congressmen;",-2,negative
120,120,121,"The whole world remained roaming around, taking the whole India as a dog","the whole world remained roaming around, taking the whole india as a dog",0,neutral
121,121,122,Modiji country has expressed confidence in you that you live up to our expectations,modify country has expressed confidence in you that you live up to our expectations,2,positive
122,122,123,"In the Prime Minister, I take an oath that on the day all the leaders of our country stop eating subsidy, I will refund my share subsidy.","in the prime minister, i take an oath that on the day all the leaders of our country stop eating subsidy, i will refund my share subsidy.",0,neutral
123,123,124,India ke sabse lokpriy pm modi ji mai aapse request kartahu pm banne ke baad aap mp ke satna nahi aaye please aap jab bhi mp aaye satna aagman ko acsept kar lijiye. Thanu,"after becoming the most popular pm modi in india, your request did not come to you. please accept your arrival. thanu",1.666666667,positive
124,124,125,Modiji is nice parson abi surwat,modiji isinaka person abi suwrat,0,neutral
125,125,126,"Modi ji, you increase, the public is with you.","mode i, you increase, the public is with you.",1,positive
126,126,127,"P. M. Modi, the lion of India, who wants every country to enter his country at Khobio.","p. m. mode, the lion of india, who wants every country to enter his country at khobio.",0,neutral
127,127,128,"Gandhi ji and you have made the name of India not only in the country but also in the entire world by his image, all the best.","gandhi i and you have made the name of india not only in the country but also in the entire world by his image, all the best.",3,positive
128,128,129,Narendra Modi of India but what will happen to Bihar Modi,narendra mode of india but what will happen to bear mode,0,neutral
129,129,130,Modi work with you,mode work with you,0,neutral
130,130,131,Long live Mother India,long live mother india,0,neutral
131,131,132,"Gandhi Gandhi Gandhi, after all, is this Gandhi the one who fools people and sells the country","gandhi gandhi gandhi, after all, is this gandhi the one who fools people and cells the country",-2,negative
132,132,133,Jai Hind Jai Bharat Mata ki Jai,jai hind jai bharat bhatism,0,neutral
133,133,134,Pujya narendra modiji good evening my dream is a selfie,petya narendra modify good evening my dream is a self,2,positive
134,134,135,"Modi ji, wherever you go, you make everyone your own, good wishes for you.","mode i, wherever you go, you make everyone your own, good wishes for you.",2,positive
135,135,136,Jia Hind Jai Bharat,jiya hindu jai bharat,0,neutral
136,136,137,Modi ji has kept the country's name big.,mode i has kept the country's name big.,1,positive
137,137,138,"maharani laxmi bai, tatya tope, subhas chandra bos, ajad, bhagat etc are the true leaders","maharani lakshmi bai, tatya tope, subhas chandra bose, ajad, bhagat etc were the true leaders",0,neutral
138,138,139,Congress did not even respect Gandhi,congress did not even respect gandhi,0,neutral
139,139,140,The country needs you to move forward,the country needs you to move forward,0,neutral
140,140,141,(gandhi)he iz a murderer. he killed subhas ch. bose,(gandhi)he in a murderer. he killed subways ch. bone,-2.5,negative
141,141,142,Don't forget godse,don't forget goose,-1,negative
142,142,143,Nehru was an austere man,near was an austere man,0,neutral
143,143,144,India will never be able to beat China ..,india will never be able to beat china ..,0,neutral
144,144,145,"Today, Namo Namo, because of you, the whole world has resonated, only Modi Modi thanks","today, name name, because of you, the whole world has resented, only mode mode thanks",2,positive
145,145,146,Modi cereal is getting spoiled in the country ?? ?? What are you thinking about it,mode cereal is getting spoiled in the country ?? ?? what are you thinking about it,0,neutral
146,146,147,The second Mahatma Gandhi of India is Narendra Modi,the second mahatma gandhi of india is narendra mode,0,neutral
147,147,148,Jai Hind. My country is great,jaw hind. my country is great,3,positive
148,148,149,Modi ji will create a new history.,mode i will create a new history.,0,neutral
149,149,150,Today's image of Swami Vivekananda is also seen in Mahatma Gandhi P. Modi.,today's image of swamp vivekananda is also seen in mahatma gandhi p. mode.,0,neutral
150,150,151,Kabhi SUBHAS CH Bose & Bhagat Singh ki bhi baat kiya karo sirji..Jisne desh k tukde kar diye us aadmi (Gandhi) ki murti anvaran karte phir raheho @ narendra modiji,talk about rubbing salt in my wounds - d&#39;oh!,0,neutral
151,151,152,"maine kai bar suna ki bharat ek din bishwa guru banega. lekin yakeen nahin hota tha. per aap kee lagan aur karya shaily se ab poora yakeen ho gaya, bahut jaldi bharat maha guru ban jayega. bharat maa ki jai.","i heard that bharat will one day become a world master. but it would not have happened. if you are satisfied with your dedication and style of work, you will soon become a bharat guru. bharatma ki jai.",2,positive
152,152,153,Modi looks good,mode looks good,3,positive
153,153,154,As much as the ability of our country to be discussed in the country is very good,as much as the ability of our country to be discussed in the country is very good,2.5,positive
154,154,155,"Modiji, do you want to make so much money, does the country want to be mortgaged?","modify, do you want to make so much money, does the country want to be mortgaged?",1,positive
155,155,156,Kal modiji nagpur jar nam len sir he vinti aahe sir,kalmodiji nagpur jur namlen sirhe is the request sir,0,neutral
156,156,157,"I, my whole family, pay dear to Modi","i, my whole family, pay dear to mode",0.5,positive
157,157,158,Vande Mataram. ..Jai Hind. .Jai Bharatઃ,vande mataram ajai hind. as bharata,0,neutral
158,158,159,"Modi ji brings all Hindus from Bangladesh to India, he says that during the Muslim Hindu period he does a lot of rituals.","mode i brings all hindu from bangladesh to india, he says that during the muslin hindu period he does a lot of rituals.",0,neutral
159,159,160,Modiji is doing a lot to take his country forward.,modify is doing a lot to take his country forward.,0,neutral
160,160,161,Modi sir welcome you and we need sir like you,mode sir welcome you and we need sir like you,2,positive
161,161,162,Sir i want to talk to you,sir i want to talk to you,1,positive
162,162,163,"India will build nine Modi ji, Modi ji will build a powerful nation","india will build nine mode i, mode i will build a powerful nation",2,positive
163,163,164,Jai Hind Modi,jai hindu modi,0,neutral
164,164,165,"Generous, our Indian army is being beaten by Pakistan bullets and shaking hands with Nawaz","generous, our indian army is being beaten by parisian bullets and shaking hands with away",0,neutral
165,165,166,"Just keep pushing us like this, we are with you ..","just keep pushing us like this, we are with you ..",2,positive
166,166,167,Modi ji sorry bidesoon main mat ghoomo apne naitaoo saansdon ko pakdo belagaam hote ja tahe hain gareeboun ki socho 1 2 Rs ki policiyon se kuch nahi hoga moti aasamiyoun se paisa nikalo gareboun se nahi,modi ji sorry bideson man mat ghoomo apne naitoo sansdon ko pakdo belgam hote j tahe hain gareeboun ki socho12 rs ki polycion se kuch nahi hog moti asmiyounse pais niklo gareboun se nahi.,-1,negative
167,167,168,Good deed Modi bhai ji ... Let us make our country golden sparrow again: that dream will come true .. God for which you have not selected ... Tough God..4 Modi ji,good deed mode that i ... let us make our country golden sparrow again: that dream will come true .. god for which you have not selected ... tough god..4 mode i,1.666666667,positive
168,168,169,Mr. Modi. There is a game in Assam and Meghalaya whose name is Play Plus Plus.,mr. mode. there is a game in assume and meghalaya whose name is play plus plus.,0,neutral
169,169,170,My pand super duper namo namo,my pand super duper namo namo namo,3,positive
170,170,171,Modi ji jai ram ji ki,modi ji ram ji ki,0,neutral
171,171,172,Keep on praying with full vigor to all Bharat Vansayo,keep on praying with full vigor to all hart vansayo,1,positive
172,172,173,Modi ji Pakishthan will have to give a befitting reply,mode i pakishthan will have to give a befitting reply,0,neutral
173,173,174,Is there any benefit to them from seeing all this ??,is there any benefit to them from seeing all this ??,2,positive
174,174,175,Did you come to Bihar? Want to,did you come to bear? want to,1,positive
175,175,176,Sir Ji Kamal Kardi in his foreign country also.,sir i canal kari in his foreign country also.,0,neutral
176,176,177,Chanakya has said .. if you have to go one step forward then put the first 10 steps back,chanakya has said .. if you have to go one step forward then put the first 10 steps back,0,neutral
177,177,178,Panji has proved to the whole world that India will grow with everyone.,pain has proved to the whole world that india will grow with everyone.,-2,negative
178,178,179,Modi ji grat,modi grat,0,neutral
179,179,180,"Modi sir, which place have you gone, my name too is being taken correctly .. lol: -D","mode sir, which place have you gone, my name too is being taken correctly .. ll: -d",0,neutral
180,180,181,Modi is just a name,mode is just a name,0,neutral
181,181,182,"There is so much energy, there is no pioneer of India, love God for you, everyone's support, everyone's development ...","there is so much energy, there is no pioneer of india, love god for you, everyone's support, everyone's development ...",1.25,positive
182,182,183,Modi mission : 2 establish world brotherhood..grt man grt thinking @ Modi : a boon 2 earth,mode mission : 2 establish world brotherhood..get man get thinking @ mode : a boon 2 earth,0,neutral
183,183,184,"Modi ji, you go ahead, I am with you ..","mode i, you go ahead, i am with you ..",0,neutral
184,184,185,Modi came wherever he went and buried his flag.,mode came wherever he went and buried his flag.,0,neutral
185,185,186,Modi ji should worry about the increasing population of India which is taking India on the path of decline,mode i should worry about the increasing population of india which is taking india on the path of decline,-3,negative
186,186,187,"May God keep Narendra Modi happy, who will lead our country forward, create enthusiasm among people.","may god keep narendra mode happy, who will lead our country forward, create enthusiasm among people.",2,positive
187,187,188,What do you say,what do you say,0,neutral
188,188,189,"Mr. Luv. Modi sir, if you need anything, you will have to ask for help.","mr. lui. mode sir, if you need anything, you will have to ask for help.",2,positive
189,189,190,This is the magic where people love Modiji,this is the magic where people love modify,3,positive
190,190,191,"Modi ji, some shridhar works in the law of the country","mode i, some shridhar works in the law of the country",0,neutral
191,191,192,Lov and ways ji,love and ways i,3,positive
192,192,193,Yes yes yes,yes yes yes,1,positive
193,193,194,I am also very crazy about you,i am also very crazy about you,-2,negative
194,194,195,Modi ji fix you in right mind,mode i fix you in right mind,0,neutral
195,195,196,"Die We are proud of you Manish Kumar, Nasriganj","die we are proud of you vanish human, nasriganj",-0.5,negative
196,196,197,"After a long time, the country has found a capable or capable leader who is also popular in foreign countries.","after a long time, the country has found a capable or capable leader who is also popular in foreign countries.",1.666666667,positive
197,197,198,"The vote of the people of India is being celebrated in Delhi. In India, Mr. Modi","the vote of the people of india is being celebrated in delhi. in india, mr. mode",3,positive
198,198,199,What can Modi alone do ... Only a man cannot dig a mountain,what can mode alone do ... only a man cannot dig a mountain,-2,negative
199,199,200,"Jai Hind, Varot Mata Ki Jai",jai hind,0,neutral
200,200,201,"Modiji, you are great to see but do not let your 5 years go out while doing a good relationship ..: P","modify, you are great to see but do not let your 5 years go out while doing a good relationship ..: p",3,positive
201,201,202,"You are great, Modi ji, because of you, our head has risen above the glory, Hail in the world","you are great, mode i, because of you, our head has risen above the glory, hail in the world",2.333333333,positive
202,202,203,"No one cares like Sichha department, which is the most important. People read their children in private Kallego instead of government college.","no one cares like sicca department, which is the most important. people read their children in private allegro instead of government college.",1.25,positive
203,203,204,"agr is desh me badlaw lane hai to sampark kre 9451551081, pe mere pass sujhaw aur tarika dono hai teachero ka vetan bhar bdhate jao jo sote hai collego me soche fir comment kre","if you want to change in india, then contact 9451551061, both my post suggestion and the way is to pay the salary of teachero who sleeps, think of it in oligo.",0,neutral
204,204,205,"Stop wandering, look at Modiji too ..","stop wandering, look at modify too ..",-1,negative
205,205,206,Great Prime Minister Modi Ji Jai Hind,great prime minster modi jee hind,3,positive
206,206,207,Pt Modi ji is a very liberal development man,it mode i is a very liberal development man,0,neutral
207,207,208,"Modi ji, you have done wonders, it is fun to see your work, TV. My feet did not see the mood fresh, congress","mode i, you have done wonders, it is fun to see your work, to. my feet did not see the mood fresh, congress",2.5,positive
208,208,209,"Honorable and respected Narendra Modi ji, you are the iron man of this era, I am proud of you.","honorable and respected narendra mode i, you are the iron man of this era, i am proud of you.",2,positive
209,209,210,"Modi ji, we are proud of you, but the development of the country will happen when the thinking of all Indians will be like yours.","mode i, we are proud of you, but the development of the country will happen when the thinking of all indians will be like yours.",2,positive
210,210,211,Today my country was awakened by the conscience.,today my country was awakened by the conscience.,0,neutral
211,211,212,"Modi ji, no one like you, thank you how much you serve the country like a son worships his mother.","mode i, no one like you, thank you how much you serve the country like a son worship his mother.",1.25,positive
212,212,213,Narendra Damodar Modi when will Babu come on a good day There is no solution.,narendra samovar mode when will baby come on a good day there is no solution.,1,positive
213,213,214,Pp Model Chirman in Rajasthan is Lalit Modi,pp model chirman inn rajasthan islitti modi,0,neutral
214,214,215,Gurudev Tagore beautified the emotional unity of India by establishing the backbone of Mahatma Gandhi,guryev tore beatified the emotional unity of india by establishing the backbone of mahatma gandhi,0,neutral
215,215,216,We will not get votes if you wear Muslim cap on that day,we will not get votes if you wear muslin cap on that day,0,neutral
216,216,217,To pay dearly to friends is the most precious way of true perseverance. Regards to you,to pay dearly to friends is the most precious way of true perseverance. regards to you,1,positive
217,217,218,"Hello App, very good kidney, best of all","hello pp, very good kidney, best of all",3,positive
218,218,219,You will never forget hindutva,you will never forget hindutva,-1,negative
219,219,220,"O king of India, brother","o king of india, brother",0,neutral
220,220,221,Good thinking Pt. Narendra Modi,good thinking it. narendra mode,3,positive
221,221,222,Please sir have talked to you,please sir have talked to you,1,positive
222,222,223,This time again modi government,this time again mode government,0,neutral
