,ENGLISH_TRANSLATION,SCORE,SENTIMENT_LABEL
48,nothing beats seeing mode this way,0,neutral
49,mode i is the only person who has the courage and passion to take the country forward.,0.7351,positive
50,"i am the great son of india, every mode",0.6249,positive
51,"mode i is ahead, you need",0,neutral
52,"jaw ho hart data and our culture, which foreigners also adopt",0.1779,positive
53,mode sir pp should be the first president. do something for people. no one will do anything later,-0.296,negative
54,everyone's master is one.,0,neutral
55,"modi is doing a very good job. in this case, we are all with you and i beg you to take care of your health.",0.7501,positive
56,mode i is very sick by treating but,-0.3174,negative
57,"if you think that you have to go to the subcontinent one day, you will not be able to forget the apple in front of them, but you will not be able to forget the apple in front of them.",-0.4215,negative
58,jai hind modi sir,0,neutral
59,"you are spoiling the money of your country..you have not seen your country roaming..you can walk around the country .. no work will be done by you, mode.",-0.296,negative
60,enough walking. now the water is going above the head.,0,neutral
61,jai hind meer bharat meer hindustan,0,neutral
62,world&#39;s best. narendra modi ji meyer india,0.6369,positive
63,"the whole country is with you, mr. mode.",0,neutral
64,"sir, you are great, you will only visit sides or take care of the children of the country, how proud we are, people",0.886,positive
65,it's honor..my honor..jay hind,0,neutral
66,jai jai ho india,0,neutral
67,what's the matter,0.0258,positive
68,nice back mode,0.4215,positive
69,"come soon and do nothing on vyazma, not far beyond 45",0,neutral
70,salute u sir pp praises a lot,0.5267,positive
71,c ongrats modi ja,0,neutral
72,"mode i, do your work, do not listen to anyone's talk, even if two out of 5 children get spoiled, you have to raise them",0,neutral
73,"sir, we want to run on the platform of sub digital india.",0.0772,positive
74,that mode all,0,neutral
75,get step part relation..nice job sir,0,neutral
76,you will not do anything for india,0,neutral
77,add your friends,0.4767,positive
78,mode i's name will remain as long as the sun is moon,0,neutral
79,unstoppable mode sir,-0.2023,negative
80,"do not keep moving too much, help us, think about us when we ask for help",0.6597,positive
81,"modify, take care of your country, only to become a point of loss",0.2263,positive
82,"mode i is such a level that he will surely change the star of india, what do you say my brothers and sisters",0.4404,positive
83,modi ji namashkarsorryto say butt aap jab v kahinf c abookpe kuchshare karte hain to status ko anglish me update karte hai.,0,neutral
84,jai hindus. chauhan bhinmal jalore,0,neutral
85,des will be developed only by bringing the world's technology,0,neutral
86,"mr. panama, i want to do something for some country too, just want a little bit of your support, if i get it then my country will be easy and very happy.",0.8805,positive
87,not enough time,0,neutral
88,"sir, you have forgotten india and you are wandering on the holiday in the village money, you do not see it in india.",0.2023,positive
89,hello mode list,0,neutral
90,jaihind of the country,0,neutral
91,there is a larger follower than a devotee.,0.3818,positive
92,modi zi shoulvd alvsynme oour india. jai bharat mata jai ​​hind,0,neutral
93,named after sir jay gurudhev,0,neutral
94,"we are having fun, we have been having fun ever since india was made a great man in the world .. best in the world .. only one ..",0.9423,positive
95,mode i. call me to your pp. 009655218960,0,neutral
96,"this country needs guidelinas or varna so much that it cannot be the world of abadi. it is on the path of development. get rid of him forever. whether it is a return or a wrong insanity, there is a need for progress.",-0.6124,negative
97,"it takes a while, sir.",0,neutral
98,"sir, hello. i am from bihar and i admire you so much, you who are working selflessly for the country, will always be in the roop of your best. salute to you sir.",0.8074,positive
99,our civilization is our identity ..,0,neutral
100,fun is when bring kohinoor back,0.5106,positive
101,good people get good gifts just like indians got you sir.,0.8074,positive
102,"respected sir, you are expecting the whole of india today .. you have shown a new morning to the public .. you also remove the sunshine ..",0.743,positive
103,only mode government,0,neutral
104,"mode i has told himself that he who is capable should not take the subscription, but i agree, please gather courage once and do not take reservation.",0.9062,positive
105,jai ho modi zi,0,neutral
106,i want to talk to you sir,0.0772,positive
107,"sir, what are you? lots!!",0,neutral
108,may you be proud of your country,0.4767,positive
109,"sir, if you have a little time, please do something for the young people of this country too .. please ask me for more information.",0.5141,positive
110,"great man, only mode can do all this.",0.6249,positive
111,"in order to run our country, they say that they are liberating themselves.",0,neutral
112,"if you do nothing in the form, 2017 will be achieved",0,neutral
113,"mode scab, which country is this ??",0,neutral
114,jaw hind mania principal monterrey i did not have army recruitment but i salute the army of the country.,0,neutral
115,"modify, you salute. very many cross of cross have been received, but i am the best of luck.",0.8957,positive
116,"hello sir, the way you are improving the condition of the country. in the same way, please pay attention to peoples like us.",0.7351,positive
117,modi ji kaysare kam ache hai par ekkambur hai inko aapne jitney ale c tion hai world taurp kge puran pmto silent mode or naye pamphlight mode hamare deski to kismat hi kharabhay.,-0.3818,negative
118,"the hopes that the people of india had from modify, so far as they are here, should make something strong that will remain in the coming time as the time is short.",0.7269,positive
119,"every had mode gear gear mode mode i, you are in pain in the stomach of the congressmen;",-0.5106,negative
120,"the whole world remained roaming around, taking the whole india as a dog",0,neutral
121,modify country has expressed confidence in you that you live up to our expectations,0.5106,positive
122,"in the prime minister, i take an oath that on the day all the leaders of our country stop eating subsidy, i will refund my share subsidy.",0,neutral
123,"after becoming the most popular pm modi in india, your request did not come to you. please accept your arrival. thanu",0.7902,positive
124,modiji isinaka person abi suwrat,0,neutral
125,"mode i, you increase, the public is with you.",0.3182,positive
126,"p. m. mode, the lion of india, who wants every country to enter his country at khobio.",0,neutral
127,"gandhi i and you have made the name of india not only in the country but also in the entire world by his image, all the best.",0.7783,positive
128,narendra mode of india but what will happen to bear mode,0,neutral
129,mode work with you,0,neutral
130,long live mother india,0,neutral
131,"gandhi gandhi gandhi, after all, is this gandhi the one who fools people and cells the country",-0.4939,negative
132,jai hind jai bharat bhatism,0,neutral
133,petya narendra modify good evening my dream is a self,0.5994,positive
134,"mode i, wherever you go, you make everyone your own, good wishes for you.",0.5423,positive
135,jiya hindu jai bharat,0,neutral
136,mode i has kept the country's name big.,0,neutral
137,"maharani lakshmi bai, tatya tope, subhas chandra bose, ajad, bhagat etc were the true leaders",0.4215,positive
138,congress did not even respect gandhi,-0.3724,negative
139,the country needs you to move forward,0,neutral
140,(gandhi)he in a murderer. he killed subways ch. bone,-0.8779,negative
141,don't forget goose,0.1695,positive
142,near was an austere man,0,neutral
143,india will never be able to beat china ..,0,neutral
144,"today, name name, because of you, the whole world has resented, only mode mode thanks",0.0772,positive
145,mode cereal is getting spoiled in the country ?? ?? what are you thinking about it,0,neutral
146,the second mahatma gandhi of india is narendra mode,0,neutral
147,jaw hind. my country is great,0.6249,positive
148,mode i will create a new history.,0.2732,positive
149,today's image of swamp vivekananda is also seen in mahatma gandhi p. mode.,0,neutral
150,talk about rubbing salt in my wounds - d&#39;oh!,0,neutral
151,"i heard that bharat will one day become a world master. but it would not have happened. if you are satisfied with your dedication and style of work, you will soon become a bharat guru. bharatma ki jai.",0.5719,positive
152,mode looks good,0.4404,positive
153,as much as the ability of our country to be discussed in the country is very good,0.6697,positive
154,"modify, do you want to make so much money, does the country want to be mortgaged?",0.1531,positive
155,kalmodiji nagpur jur namlen sirhe is the request sir,0,neutral
156,"i, my whole family, pay dear to mode",0.296,positive
157,vande mataram ajai hind. as bharata,0,neutral
158,"mode i brings all hindu from bangladesh to india, he says that during the muslin hindu period he does a lot of rituals.",0,neutral
159,modify is doing a lot to take his country forward.,0,neutral
160,mode sir welcome you and we need sir like you,0.6705,positive
161,sir i want to talk to you,0.0772,positive
162,"india will build nine mode i, mode i will build a powerful nation",0.4215,positive
163,jai hindu modi,0,neutral
164,"generous, our indian army is being beaten by parisian bullets and shaking hands with away",-0.0516,negative
165,"just keep pushing us like this, we are with you ..",0.3612,positive
166,modi ji sorry bideson man mat ghoomo apne naitoo sansdon ko pakdo belgam hote j tahe hain gareeboun ki socho12 rs ki polycion se kuch nahi hog moti asmiyounse pais niklo gareboun se nahi.,-0.0772,negative
167,good deed mode that i ... let us make our country golden sparrow again: that dream will come true .. god for which you have not selected ... tough god..4 mode i,0.847,positive
168,mr. mode. there is a game in assume and meghalaya whose name is play plus plus.,0.34,positive
169,my pand super duper namo namo namo,0.5994,positive
170,modi ji ram ji ki,0,neutral
171,keep on praying with full vigor to all hart vansayo,0.5574,positive
172,mode i pakishthan will have to give a befitting reply,0,neutral
173,is there any benefit to them from seeing all this ??,0.5204,positive
174,did you come to bear? want to,0.0772,positive
175,sir i canal kari in his foreign country also.,0,neutral
176,chanakya has said .. if you have to go one step forward then put the first 10 steps back,0,neutral
177,pain has proved to the whole world that india will grow with everyone.,-0.5106,negative
178,modi grat,0,neutral
179,"mode sir, which place have you gone, my name too is being taken correctly .. ll: -d",0,neutral
180,mode is just a name,0,neutral
181,"there is so much energy, there is no pioneer of india, love god for you, everyone's support, everyone's development ...",0.8473,positive
182,mode mission : 2 establish world brotherhood..get man get thinking @ mode : a boon 2 earth,0,neutral
183,"mode i, you go ahead, i am with you ..",0,neutral
184,mode came wherever he went and buried his flag.,0,neutral
185,mode i should worry about the increasing population of india which is taking india on the path of decline,-0.4404,negative
186,"may god keep narendra mode happy, who will lead our country forward, create enthusiasm among people.",0.8689,positive
187,what do you say,0,neutral
188,"mr. lui. mode sir, if you need anything, you will have to ask for help.",0.4019,positive
189,this is the magic where people love modify,0.6369,positive
190,"mode i, some shridhar works in the law of the country",0,neutral
191,love and ways i,0.6369,positive
192,yes yes yes,0.7964,positive
193,i am also very crazy about you,-0.4005,negative
194,mode i fix you in right mind,0,neutral
195,"die we are proud of you vanish human, nasriganj",-0.2023,negative
196,"after a long time, the country has found a capable or capable leader who is also popular in foreign countries.",0.7906,positive
197,"the vote of the people of india is being celebrated in delhi. in india, mr. mode",0.5719,positive
198,what can mode alone do ... only a man cannot dig a mountain,-0.25,negative
199,jai hind,0,neutral
200,"modify, you are great to see but do not let your 5 years go out while doing a good relationship ..: p",0.7506,positive
201,"you are great, mode i, because of you, our head has risen above the glory, hail in the world",0.836,positive
202,"no one cares like sicca department, which is the most important. people read their children in private allegro instead of government college.",-0.0225,negative
203,"if you want to change in india, then contact 9451551061, both my post suggestion and the way is to pay the salary of teachero who sleeps, think of it in oligo.",-0.0258,negative
204,"stop wandering, look at modify too ..",-0.296,negative
205,great prime minster modi jee hind,0.6249,positive
206,it mode i is a very liberal development man,0,neutral
207,"mode i, you have done wonders, it is fun to see your work, to. my feet did not see the mood fresh, congress",0.6808,positive
208,"honorable and respected narendra mode i, you are the iron man of this era, i am proud of you.",0.8658,positive
209,"mode i, we are proud of you, but the development of the country will happen when the thinking of all indians will be like yours.",0.6486,positive
210,today my country was awakened by the conscience.,0,neutral
211,"mode i, no one like you, thank you how much you serve the country like a son worship his mother.",0.4386,positive
212,narendra samovar mode when will baby come on a good day there is no solution.,0.2354,positive
213,pp model chirman inn rajasthan islitti modi,0,neutral
214,guryev tore beatified the emotional unity of india by establishing the backbone of mahatma gandhi,0.1531,positive
215,we will not get votes if you wear muslin cap on that day,0,neutral
216,to pay dearly to friends is the most precious way of true perseverance. regards to you,0.9061,positive
217,"hello pp, very good kidney, best of all",0.8251,positive
218,you will never forget hindutva,0.1695,positive
219,"o king of india, brother",0,neutral
220,good thinking it. narendra mode,0.4404,positive
221,please sir have talked to you,0.3182,positive
222,this time again mode government,0,neutral
223,"oh great ,, .. seeing you every day, you get new energy. you make rico razor sal sir i and india iowa bias ..",0.7003,positive
224,tussi bast panho modi ji said&#39;i punjabi,0,neutral
225,"sir, are you kind in your national employment scheme in the news paper for sons job ??",0.5803,positive
226,"i have failed to you, i want an answer from you",-0.4588,negative
227,i spoke in mode's mock,-0.4215,negative
228,mother india,0,neutral
229,share it please,0.5423,positive
230,by victory i,0,neutral
231,"you also turned out to be a liar, your promise was your promise.",0.0772,positive
232,"yours sincerely,",0.4767,positive
233,"i have sent a picture from the capital of himachal of patch scab swachch hart mission, yesterday. must see him",0,neutral
234,"dear narendra mode, you are good night",0.6705,positive
235,"it. uncle this time, the new bear will form the by government of bear",0,neutral
236,develop only happens in the villages and not in the villages.,0,neutral
237,"i liked fatal i very much. his ideal was great. after that, sir sir salute you",0.7943,positive
238,"have you ever lived at home, mr. mode?",0,neutral
239,hell pun modi zi,-0.6808,negative
240,"because i know about you, so you also know all about me",0,neutral
241,very beautiful. best wishes,0.8894,positive
242,modify ... we voted for you but now i feel that i was suffering,-0.631,negative
243,he hell,-0.6808,negative
244,"goode morning to all of us, shri narendra bhai modi jee jai shri krishthanakas to both of us, sangit patil malvijay kumur vvc",0,neutral
245,mode i is such a shashank who is making india of vaska as hindustan and now india is progressing,0,neutral
246,name to mode sir. we are proud that our mother has given birth to birpurus.,0.4767,positive
247,none of your business plans have been used properly.,0,neutral
248,i want to meet you but i can't meet,0.0387,positive
249,"mode i, how are you .. your attention is being taken abroad, no sir .. sir, please go quickly and then talk about mann's waiting for sir sir .. teach care sir",0.5106,positive
250,narendra mode i plans the case that is pending in the court to get justice soon,0.5267,positive
251,what is the best way to get rid of clutter you don&#39;t need to do?,0.6369,positive
252,"brother, keep moving, don&#39;t do any work",0,neutral
253,nothing else can happen but the man will roam the world on government money.,0,neutral
254,"if he has the right to choose, if he thinks that the wrong man has been chosen, then he will be responsible for the rest of the world, even if he is not with him.",-0.2023,negative
255,until i is the lion of the universe,0,neutral
256,"if india’s solution goes like this, then there will be no educated person in india.",0.3818,positive
257,"please mode, please explain to your country that buddha's birth is in near and not in india.",0.5574,positive
258,mode sir..you come bear.because necessary to by government in bear..had had mode gear gear mode..,0,neutral
259,just keep wandering and turn india into hell,-0.6808,negative
260,mode did not do anything .. he does not know .. but he will surely roam around the world in 5 years,0.5927,positive
261,b cground musi c placeacofole mangu na bahr mangu mang to sanamer pur mangu?,0,neutral
262,"mode i, you are called dash",0,neutral
263,mode will remain active as long as the sun is moon .. jaw hind,0.4019,positive
264,every modi modi ghar modi allworld modi ji goodworks sir,0,neutral
265,this beautiful picture,0.5994,positive
266,"mode i, thousands of cows are being cut every day, do supervised, which bites the golden cows, hang them or cut them off at the crossroads for two years.",-0.4939,negative
267,looking very carefully,0.2006,positive
268,"the amount of money these leaders would spend in traveling abroad, if they distribute it among the poor, then how many will be fed.",-0.4767,negative
269,sir don't stop killing,0.6602,positive
270,"the right decision, the right decision, the right decision at the right time is with us, our brothers and sisters need more. humsab is with you sirji.",0,neutral
271,why is there no one in the circle in the fight? mode is the best it.,0.1027,positive
272,bring back innocent out early,0.34,positive
273,"by will not even win 7 seats again, jaw rajasthan",-0.4717,negative
274,foreign minister is also with bandit: mode,0,neutral
275,shreeji read the january intra! you are invited!,0,neutral
276,the best mode g,0.6369,positive
277,modi himself said that all bengalis from assam would soon leave. but he gave her a bouquet. the boatman sent his volvo bus for him. this was not our expectation.,-0.0258,negative
278,india will be at the forefront of your policy in the coming years .. and your foreign policy is very good ..,0.4927,positive
279,enjoy karl with our money .. world tour world. ..,0.4939,positive
280,modify is the only country that will make us stronger,0.3818,positive
281,"respect for women, respect for the country, women's development, what a developed country",0.7351,positive
282,"for the first time, we see ""on ban shan"" of the country, on which we have ""nap"".",-0.5574,negative
283,welcome mode see,0.4588,positive
284,"do not fall off the bike carefully, sir havana",0.128,positive
285,great mode,0.6249,positive
286,"please sir, make veto power while you are ..",0.3182,positive
287,who is a job?,0,neutral
288,sir you go ahead we are your seven,0,neutral
289,"sir, some have to roam in our country too, somewhere there is no electricity, no water, and no road at all, when the days come, you will come, you will come",-0.3637,negative
290,bandit mode is an altar for india,0,neutral
291,shove hullo,0,neutral
292,who has been living for seven nights,0,neutral
293,may i have to go again for sir connection?,0,neutral
294,kailash will take out vijayvargiya and will get you or all your pride and water relying on us,0.34,positive
295,"go around the goods of india, you will not come after 5 years",0,neutral
296,"modi and the great pm, but there are no solutions to those soldiers who have been starving for 29 days and have not been seen by the media in india. they are the media of india.",-0.4455,negative
297,all hindust hummer,0,neutral
298,one who cannot stop killing cow is of no use to us,0.4946,positive
299,"thank you sir, your visit will definitely benefit the country, we are proud of you and your policies.",0.8834,positive
300,"great sir, modify's name will remain as long as the sun is moon ..",0.6249,positive
301,"mode jindabad is strong of our country, the image of oh india will change",0.5106,positive
302,"salutation to the body and i, mr. mode",0,neutral
303,great mode i welcomes,0.7783,positive
304,today every citizen has only one wish that narendra mode will do something.,0.4019,positive
305,sath sat naman,0,neutral
306,"welcome back die it. how many days will you live in india? who does not have this money from the father. it is ours. our money does not go abroad and you travel around, sir?",-0.3094,negative
307,welcome mother bharati is calling her,0.4588,positive
308,"sir, do something about these pakistanis .. some pakistani people daily abuse your name with your name.",-0.6369,negative
309,i meet the same standing every day,0,neutral
310,dear has arrived,0.3818,positive
311,"sir, you must talk to me, sir, my no 9747375375",-0.296,negative
312,discontinued in punjab .. ferozepur,0,neutral
313,"there is no money for one rank and one pension, shame you forgot the first rally of reward",-0.1531,negative
314,"sir, you get increased for the work you are doing for the country.",0.2732,positive
315,pn modi jnjnmgnreg is the top cannon. garmin chhetro mein esse plyan ruk hai. the whole world is in your hands. we can&#39;t take care of our children. we can&#39;t give good education to children.,0.7845,positive
316,zindia,0,neutral
317,"sir, i took a tour of all the states of the country. like you came out in the 2014 election. now see how much has changed.",0.3612,positive
318,a tribute to the spirit of mode,0.1779,positive
319,abvay india sovereign. c ovarian pranayalaya. pakistan aj. i wish you to be happy. rosethe litter paleoung. i want to play with you. ma ke choot tere or teriyen bhen lloray bugwan ki,0.8442,positive
320,"sir ghumpad is writing, but he is not moving around.",0,neutral
321,don't talk about the future. we are getting spoiled today.,0,neutral
322,"i believe you are so important that i cannot speak to my heart, i am not aware of it, i am very proud of hindustan.",0.8738,positive
323,"sir, the intention of doing something for the people of the country: or they will roam around in this air india",0,neutral
324,congratulations for a successful trip abroad sir,0.8271,positive
325,"sir, do you have any treatment for unemployment",-0.4404,negative
326,jai ho modi zi,0,neutral
327,are these photographer tired .. have blurred photo ..,-0.4404,negative
328,gajanandji came to the house.,0,neutral
329,people can also see the whole world to fulfill their dream,0.5994,positive
330,garib weeping and how soon are you,-0.4404,negative
331,congratulations to the prime minister on his birthday,0.5994,positive
332,bharatakke bap randi magan illi raitaru saikattaru,0,neutral
333,ohhh bssr modi tenu ghuman toh sivva hoar koi kam hai,0,neutral
334,"after all, there is no shortage of forcients",0.1877,positive
335,bad luck in the country. चै वल प्ँ॥ओर पध लिख प्ं मौन्,-0.128,negative
336,congratulation sir i,0.5994,positive
337,ghein ke lund apni bhen chud ra handi ke,0,neutral
338,extremist prick with hateful ideologies and hostile intentions towards neighbors. ultimate dueschbag.,-0.802,negative
339,only you,0,neutral
340,i heretically salute you. in the history of the world of prime minister your career will be done in the form of hinduism.,0,neutral
341,"modi ji is believed by all of you, but he is also looking back on the fact that he has not been cleansed for so many days.",0,neutral
342,country sold by selling rice,0,neutral
343,"mer bharat mahan, modi ji sach insan, deski dilyange sahi pehchan. jai hind jai bharat",0,neutral
344,"modiji govt wonderful programs; jadu apk safai apk-swach bharat, pais apk ac ount apk-jandhan, body apk mat apk-yoga day, beti apk responsibility apk-beti bachao beti padau, mobile apk beti apk girf celf and self. amazing fekuji.",0.8176,positive
345,the day has come.,0,neutral
346,"if it is modi ja, what is it? if you find our bihar, when you get the vote, then bihar is the only place where you can play bihar.",0.34,positive
347,modi will never be in india,0,neutral
348,"farmers are working hard like you, but farmers are having trouble raising children.",-0.4588,negative
349,we consider ourselves fortunate that the country has found a place like yours.,0.6597,positive
350,"the country was blessed with its capture, ironman",0.5994,positive
351,only i am happy with you,0.5719,positive
352,"casey randy&#39;s escape,",0.1779,positive
353,i need 5 apps to set up my bussiness,0,neutral
354,only our country has received freedom from your arrival.,0.6369,positive
355,see also akbar bihar,0,neutral
356,"modiji is not our apologist, we don&#39;t want to open an association, we don&#39;t want to help our own people and we don&#39;t need help for that.",0.7184,positive
357,"the whole world is watching today,",0,neutral
358,bharatmat lovelly son modi jaihoo,0,neutral
359,what happened to your marriage?,0,neutral
360,why are you feeling like a heart?,0.802,positive
361,home guard people do good deeds for the sake of good deeds. work hard for the sake of good deeds.,0.8074,positive
362,bhusha 2. ink milk dushyon&#39;s,0,neutral
363,c oro kutto pa bros mt kro,0,neutral
364,"just play with the light system of the creep, crep cray.",0.34,positive
365,"only your skill devlopment program, so that karoro people will get employment !! thanks only",0.5399,positive
366,thank you for the responsibility of the corporation and the council.,0.3612,positive
367,सब्क सथ् सब्क विकस्॥गुद्,0,neutral
368,why do you want to be unemployed? outside all the dirty places in the dirt state,-0.6124,negative
369,"if you have been outbid, you have the opportunity to continue bidding",0.4215,positive
370,"for development, govt needs to become a regular",0,neutral
371,"for the second prime minister job, the only problem will be the problem of employment.",-0.6597,negative
372,"modi sab gl ,, gall the kraha bnyay jayoge, ku kus kroge v",0.3182,positive
373,only white,0,neutral
374,"hours are modi modi. when people have a thought, they start thinking about it.",0,neutral
375,"modi jorj forward, hum tumhare sath hai ja bharat",0,neutral
376,bring up bezpam only,0,neutral
377,modi ji has spread his self.,0,neutral
378,your skill schme bhut achi helog kamn kren tekhen to kem se kamm unemployed to ni rhengeanthanks to pm four et,0,neutral
379,"if modi wins, his plan is great. we are with you, sir.",0.8316,positive
380,country development,0,neutral
381,bikner kbturh. halt kharbh for sale. surdhan gavjane vali sadakka bhi kbi chalke dekho us sadakpe,0,neutral
382,india digital banne modi circa pum,0,neutral
383,thank you,0.3612,positive
384,bjp is at least believable,0,neutral
385,"today e amototallyc onfuse. bharat boln pareg ,, jai jai ho",0,neutral
386,we are hungry only,0,neutral
387,"dnyavad bahi zi, shubharatri zi",0,neutral
388,"modi ji, this is the wrong thing that you are doing. playacy think about it",-0.4767,negative
389,"i am not sure about what kind of history it is, but it turns out to be a good day for me.",0.5218,positive
390,adaniya pam which is your favorite plan is very good.,0.7346,positive
391,bharata with &quot;modi&quot;,0,neutral
392,"great modi ji, no one else like you",0.6597,positive
393,mission is a good thing,0.4404,positive
394,there will be some evil person,-0.6597,negative
395,"if modi ji had been elected 10 years ago, today&#39;s india would have been different from syed india chin.",0,neutral
396,grow it as soon as you turn off the bakvaskarn. do not have any money to pay for the plow policia or the gratuity that is paid for by the polio c or the launderer. है because there are many who eat in mid-day.,-0.1027,negative
397,only the namo namohumari muskile kaub hogikaushambi has not been corrected since the last 10 years,0,neutral
398,modi ji achi is the perfect skill in india program.,0.5719,positive
399,very nice and very good humor,0.8255,positive
400,look at the situation in jammu and kashmir.,0,neutral
401,very beautiful only sabse hatkar vande ~~ only,0.6361,positive
402,"if modi had been elected 10 years ago, we would have been here 20 years ago",0,neutral
403,see the video below for the skill.,0,neutral
404,"only the namskars, some leaders of hamari (bjp), have rejected the image, in which they have lost their positions, so that no one else can work like this, like hindus, vandematarmas.",-0.4026,negative
405,"sir, we are not together",0,neutral
406,"whatever you do for a living, if you improve in odisha, it will be a little better, and what you talked about, you will never be able to improve.",0.813,positive
407,"you should meet a country like ours, which is working so hard for the welfare of its country and launching such schemes.",0.1615,positive
408,request from sbicongresio that he has a lot of work to do in india. खलि बैथे दिमग् खुरपत् क्र्त ह्॥ remember ghotle&#39;s own skill.,0,neutral
409,skill india will be there when india will be modi. where is ejfair from kanhi? naxalite jai hind.,0,neutral
410,"brother who is suffering from himself, his only thing is the only way to live in it",-0.4767,negative
411,then indeed with hardship comes ease. indeed with hardship comes ease! ~ran 94:5-6,0.1759,positive
412,what happened to god,0.2732,positive
413,"kashmir itself gives them the trouble that the world has to deal with in the words of the muslim world, and so on.",-0.4019,negative
414,take them! take them! everything belongs to me. :-) कुरन् हो॥य बिब्ले॥ you are going to be good. why all this fuss? : -द्,0.6988,positive
415,may allah guide everyone,0,neutral
416,pyae kuppi puthe wichil,0,neutral
417,the government should know that this is the way to work,0,neutral
418,"respectively this is madam. no official but the gujrat, kisii mahapurush had made such a change that no one could live in an insomniac.",-0.4019,negative
419,jai garvi gujrat,0,neutral
420,jai bajrang bali.,0,neutral
421,aaj bhakt will be happy,0.5719,positive
422,what did these 60 sal ongres do;),0,neutral
423,heal this country first. !! ?,0,neutral
424,"however, these sub-policies should not be in the status quo.",0,neutral
425,that is all. butyeh grayen apple mojito ksath rasmalayi kisne mangayi ??,0,neutral
426,"doosro was made of marrow, doosro was caught in the wheel of marne.",0,neutral
427,these people write all india before thinking so much before writing,0,neutral
428,samsung&#39;s goal is 1400 days after the 1800&#39;s.,0,neutral
429,damn the invisible nina cutting onions..,-0.4939,negative
430,"i love you so much, i love you so much. i will always be with you.",0.8646,positive
431,salman khan abki dekhne ki teri pic kite hit hogi bin muslim ke sale tumug muslim per dag ho,0,neutral
432,"it is said that if you do not see the muslim text, then it would be good.",0.4404,positive
433,salman bhai,0,neutral
434,"salman is having so many problems in the country, so why not?",-0.4549,negative
435,salmon khan bhai apko lekes or c omentants km milte hain shahrukh khan ki nisbat,0,neutral
436,we also have duties,0,neutral
